increment,branch,stress_component,order,directions,direction_pattern,step_factor,step,fd_value,fd_value_normalized,invariant_across_stencil,oti_derivative,reference_classification
1,elastic,2,3,1|1|1,repeated,4.0,0.0016,63.38436660543084,6.338436660543086e-06,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|1,repeated,2.0,0.0008,-2.1904706954956055e-06,-2.1904706954956057e-13,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|1,repeated,1.0,0.0004,4.649162292480469e-06,4.64916229248047e-13,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|1,repeated,0.5,0.0002,7.343292236328125e-05,7.343292236328126e-12,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|1,repeated,0.25,0.0001,-0.00038433074951171875,-3.8433074951171885e-11,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|1,repeated,0.125,5e-05,0.01110076904296875,1.1100769042968753e-09,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|1,repeated,0.0625,2.5e-05,0.009674072265625,9.674072265625001e-10,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,16.0,0.0064,127.79672046634369,1.277967204663437e-05,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,8.0,0.0032,24.96566128730774,2.496566128730774e-06,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,4.0,0.0016,35.5119811501354,3.5511981150135407e-06,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,2.0,0.0008,-3.5408884286880493e-06,-3.54088842868805e-13,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,1.0,0.0004,-9.5367431640625e-07,-9.536743164062502e-14,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,0.5,0.0002,0.00019550323486328125,1.955032348632813e-11,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,0.25,0.0001,-0.000244140625,-2.4414062500000005e-11,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,0.125,5e-05,0.0020751953125,2.0751953125000003e-10,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,0.0625,2.5e-05,0.0361328125,3.6132812500000006e-09,False,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,16.0,0.0064,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,8.0,0.0032,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,4.0,0.0016,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,2.0,0.0008,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,1.0,0.0004,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,0.5,0.0002,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,0.25,0.0001,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,0.125,5e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,0.0625,2.5e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
