increment,branch,stress_component,order,directions,direction_pattern,step_factor,step,fd_value,fd_value_normalized,invariant_across_stencil,oti_derivative,reference_classification
1,elastic,2,3,1|1|1,repeated,1.0,4e-05,-0.482421875,-2.0100911458333336e-12,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|1,repeated,0.5,2e-05,-4.328125,-1.8033854166666667e-11,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|1,repeated,0.25,1e-05,41.25,1.7187500000000001e-10,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|1,repeated,0.125,5e-06,-62.25,-2.59375e-10,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|1,repeated,0.0625,2.5e-06,-2123.5,-8.847916666666667e-09,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,16.0,0.00064,78469541335.18898,0.3269564222299541,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,8.0,0.00032,20822765712.650513,0.08676152380271047,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,4.0,0.00016,23233811704.64032,0.09680754876933467,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,2.0,8e-05,0.0662841796875,2.7618408203125e-13,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,1.0,4e-05,-0.603515625,-2.5146484375000003e-12,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,0.5,2e-05,-3.09375,-1.2890625e-11,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,0.25,1e-05,38.0,1.5833333333333336e-10,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,0.125,5e-06,-54.0,-2.25e-10,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,0.0625,2.5e-06,-2288.0,-9.533333333333333e-09,False,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,16.0,0.00064,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,8.0,0.00032,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,4.0,0.00016,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,2.0,8e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,1.0,4e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,0.5,2e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,0.25,1e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,0.125,5e-06,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,0.0625,2.5e-06,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,16.0,0.00064,-518742388821122.9,-2.1614266200880126,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,8.0,0.00032,-1117555357702377.5,-4.65648065709324,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,4.0,0.00016,-421462102869896.4,-1.7560920952912353,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,2.0,8e-05,-328.0,-1.3666666666666668e-12,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,1.0,4e-05,29440.0,1.2266666666666668e-10,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,0.5,2e-05,475136.0,1.979733333333334e-09,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,0.25,1e-05,-786432.0,-3.2768000000000005e-09,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,0.125,5e-06,122683392.0,5.111808e-07,False,0.0,expected_zero_independently_supported
