increment,branch,stress_component,order,directions,direction_pattern,step_factor,step,fd_value,fd_value_normalized,invariant_across_stencil,oti_derivative,reference_classification
1,elastic,5,2,1|1,repeated,0.25,5e-06,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,5,2,1|1,repeated,0.125,2.5e-06,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,5,2,1|1,repeated,0.0625,1.25e-06,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,6,2,1|1,repeated,16.0,0.00032,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,6,2,1|1,repeated,8.0,0.00016,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,6,2,1|1,repeated,4.0,8e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,6,2,1|1,repeated,2.0,4e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,6,2,1|1,repeated,1.0,2e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,6,2,1|1,repeated,0.5,1e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,6,2,1|1,repeated,0.25,5e-06,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,6,2,1|1,repeated,0.125,2.5e-06,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,6,2,1|1,repeated,0.0625,1.25e-06,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,1,3,1|1|1,repeated,16.0,0.00032,1.3901825606524244e-68,5.560730242609698e-80,False,0.0,expected_zero_independently_supported
1,elastic,1,3,1|1|1,repeated,8.0,0.00016,1.1529689552469497e-68,4.611875820987799e-80,False,0.0,expected_zero_independently_supported
1,elastic,1,3,1|1|1,repeated,4.0,8e-05,7.369148566631887e-68,2.947659426652755e-79,False,0.0,expected_zero_independently_supported
1,elastic,1,3,1|1|1,repeated,2.0,4e-05,5.431668084469582e-67,2.172667233787833e-78,False,0.0,expected_zero_independently_supported
1,elastic,1,3,1|1|1,repeated,1.0,2e-05,1.617770208826854e-65,6.471080835307416e-77,False,0.0,expected_zero_independently_supported
1,elastic,1,3,1|1|1,repeated,0.5,1e-05,-4.476270413013299e-65,-1.79050816520532e-76,False,0.0,expected_zero_independently_supported
1,elastic,1,3,1|1|1,repeated,0.25,5e-06,-2.2041590072754684e-64,-8.816636029101874e-76,False,0.0,expected_zero_independently_supported
1,elastic,1,3,1|1|1,repeated,0.125,2.5e-06,-4.877873426429589e-63,-1.9511493705718354e-74,False,0.0,expected_zero_independently_supported
1,elastic,1,3,1|1|1,repeated,0.0625,1.25e-06,5.821162630514363e-62,2.3284650522057453e-73,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|1,repeated,16.0,0.00032,-1.1624258328984993e-69,-4.649703331593997e-81,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|1,repeated,8.0,0.00016,2.721309138264131e-68,1.0885236553056525e-79,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|1,repeated,4.0,8e-05,3.919918505929833e-68,1.567967402371933e-79,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|1,repeated,2.0,4e-05,7.71315883680635e-68,3.08526353472254e-79,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|1,repeated,1.0,2e-05,1.386712983212148e-66,5.546851932848593e-78,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|1,repeated,0.5,1e-05,-2.6220910010218275e-65,-1.0488364004087311e-76,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|1,repeated,0.25,5e-06,-2.9351492912310025e-65,-1.1740597164924012e-76,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|1,repeated,0.125,2.5e-06,-1.9060318665522048e-63,-7.624127466208819e-75,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|1,repeated,0.0625,1.25e-06,-1.2707792106592145e-63,-5.083116842636858e-75,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,16.0,0.00032,-1.1624258328984993e-69,-4.649703331593997e-81,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,8.0,0.00016,2.721309138264131e-68,1.0885236553056525e-79,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,4.0,8e-05,3.919918505929833e-68,1.567967402371933e-79,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,2.0,4e-05,7.71315883680635e-68,3.08526353472254e-79,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,1.0,2e-05,1.386712983212148e-66,5.546851932848593e-78,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,0.5,1e-05,-2.6220910010218275e-65,-1.0488364004087311e-76,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,0.25,5e-06,-2.9351492912310025e-65,-1.1740597164924012e-76,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,0.125,2.5e-06,-1.9060318665522048e-63,-7.624127466208819e-75,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|1,repeated,0.0625,1.25e-06,-1.2707792106592145e-63,-5.083116842636858e-75,False,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,16.0,0.00032,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,8.0,0.00016,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,4.0,8e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,2.0,4e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,1.0,2e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,0.5,1e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,0.25,5e-06,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,0.125,2.5e-06,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|1,repeated,0.0625,1.25e-06,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,5,3,1|1|1,repeated,16.0,0.00032,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,5,3,1|1|1,repeated,8.0,0.00016,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,5,3,1|1|1,repeated,4.0,8e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,5,3,1|1|1,repeated,2.0,4e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,5,3,1|1|1,repeated,1.0,2e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,5,3,1|1|1,repeated,0.5,1e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,5,3,1|1|1,repeated,0.25,5e-06,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,5,3,1|1|1,repeated,0.125,2.5e-06,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,5,3,1|1|1,repeated,0.0625,1.25e-06,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,6,3,1|1|1,repeated,16.0,0.00032,0.0,0.0,True,0.0,expected_zero_independently_supported
