source_id,repository,cache_path,acquisition_url,url_provenance,commit,license_spdx,sha256,bytes,source_form,is_umat,entry_interface,entry_routine,entry_line,entry_evidence,classification_basis,refusal_class,refusal_class_confident,duplicate_of,companion_files,terminal_state,kind,reason,stage,attempted,transformed,compiled,ntens,ntens_provenance,element_type,formulation,kinematics,deck,material_provenance,props_count,nstatv,activated,activation_amplitude,time_dependent,response_character,worst_stress_relative,worst_state_relative,primal_increments,precision_control,tangent_states_checked,tangent_states_agreeing,worst_tangent_relative,tangent_plateau,missing_companions,compile_defect,key,seconds
jgomezc1__ABAQUS-US/UELS/UEL8_ECO.for,jgomezc1/ABAQUS-US,jgomezc1__ABAQUS-US/UELS/UEL8_ECO.for,https://github.com/jgomezc1/ABAQUS-US/blob/54181407aa7aa23055e33d354d0b2a3abc266365/UELS/UEL8_ECO.for,"reconstructed from the commit the acquisition pinned (54181407aa7a), whose owner/repo was recorded in an acquisition URL",54181407aa7aa23055e33d354d0b2a3abc266365,MIT,4993946297934b8926eca548af0a5b30a3200db98bb69d1796688e954a6493c6,44731,fixed,False,UEL,UEL,67,"SUBROUTINE UEL(RHS,AMATRX,SVARS,ENERGY,NDOFEL,NRHS,NSVARS,","this file's Abaqus entry point is SUBROUTINE UEL (UEL, 36 arguments) at line 67; the SUBROUTINE UMAT at line 379 is called by UEL and is that routine's own callee, not this file's entry point",,,,,not_a_umat,external,"this file's Abaqus entry point is SUBROUTINE UEL (UEL, 36 arguments) at line 67; the SUBROUTINE UMAT at line 379 is called by UEL and is that routine's own callee, not this file's entry point",not_a_umat,True,True,True,,,,,finite,,,0,,,,,,,,,,,,,,,,d39e3363ca78b502ed3d8439,0.0
jgomezc1__ABAQUS-US/UELS/UEL8_PCLI.for,jgomezc1/ABAQUS-US,jgomezc1__ABAQUS-US/UELS/UEL8_PCLI.for,https://github.com/jgomezc1/ABAQUS-US/blob/54181407aa7aa23055e33d354d0b2a3abc266365/UELS/UEL8_PCLI.for,"reconstructed from the commit the acquisition pinned (54181407aa7a), whose owner/repo was recorded in an acquisition URL",54181407aa7aa23055e33d354d0b2a3abc266365,MIT,6d3a32e5dc323ce23764f92429b6b0906260a8397d19a37456a812a178413d71,48634,fixed,False,UEL,UEL,42,"SUBROUTINE UEL(RHS,AMATRX,SVARS,ENERGY,NDOFEL,NRHS,NSVARS,","this file's Abaqus entry point is SUBROUTINE UEL (UEL, 36 arguments) at line 42; the SUBROUTINE UMAT at line 254 is called by UEL and is that routine's own callee, not this file's entry point",,,,,not_a_umat,external,"this file's Abaqus entry point is SUBROUTINE UEL (UEL, 36 arguments) at line 42; the SUBROUTINE UMAT at line 254 is called by UEL and is that routine's own callee, not this file's entry point",not_a_umat,True,True,True,,,,,finite,,,0,,,,,,,,,,,,,,,,e7e0bc004b129e22e2d1551e,0.0
jgomezc1__ABAQUS-US/UELS/UEL8_PCLI_R.for,jgomezc1/ABAQUS-US,jgomezc1__ABAQUS-US/UELS/UEL8_PCLI_R.for,https://github.com/jgomezc1/ABAQUS-US/blob/54181407aa7aa23055e33d354d0b2a3abc266365/UELS/UEL8_PCLI_R.for,"reconstructed from the commit the acquisition pinned (54181407aa7a), whose owner/repo was recorded in an acquisition URL",54181407aa7aa23055e33d354d0b2a3abc266365,MIT,62c32ea2f140b4aee30d93da84221576e25d9c22304917e442eb67eca6ab7f04,45671,fixed,False,UEL,UEL,60,"SUBROUTINE UEL(RHS,AMATRX,SVARS,ENERGY,NDOFEL,NRHS,NSVARS,","this file's Abaqus entry point is SUBROUTINE UEL (UEL, 36 arguments) at line 60; the SUBROUTINE UMAT at line 288 is called by UEL and is that routine's own callee, not this file's entry point",,,,,not_a_umat,external,"this file's Abaqus entry point is SUBROUTINE UEL (UEL, 36 arguments) at line 60; the SUBROUTINE UMAT at line 288 is called by UEL and is that routine's own callee, not this file's entry point",not_a_umat,True,True,True,,,,,finite,,,0,,,,,,,,,,,,,,,,3c38be93d8251eaafae3ffb8,0.0
jgomezc1__ABAQUS-US/UELS/UEL8_PCLK.for,jgomezc1/ABAQUS-US,jgomezc1__ABAQUS-US/UELS/UEL8_PCLK.for,https://github.com/jgomezc1/ABAQUS-US/blob/54181407aa7aa23055e33d354d0b2a3abc266365/UELS/UEL8_PCLK.for,"reconstructed from the commit the acquisition pinned (54181407aa7a), whose owner/repo was recorded in an acquisition URL",54181407aa7aa23055e33d354d0b2a3abc266365,MIT,fc9e32db5dd12a7edb5c996146e736840f549ad2335b0f7e77d94e135fb42594,52183,fixed,False,UEL,UEL,61,"SUBROUTINE UEL(RHS,AMATRX,SVARS,ENERGY,NDOFEL,NRHS,NSVARS,","this file's Abaqus entry point is SUBROUTINE UEL (UEL, 36 arguments) at line 61; the SUBROUTINE UMAT at line 297 is called by UEL and is that routine's own callee, not this file's entry point",,,,,not_a_umat,external,"this file's Abaqus entry point is SUBROUTINE UEL (UEL, 36 arguments) at line 61; the SUBROUTINE UMAT at line 297 is called by UEL and is that routine's own callee, not this file's entry point",not_a_umat,True,True,True,,,,,finite,,,0,,,,,,,,,,,,,,,,b3fdc8e6cff80e0413593627,0.0
jgomezc1__ABAQUS-US/UELS/UEL8_PCOI.for,jgomezc1/ABAQUS-US,jgomezc1__ABAQUS-US/UELS/UEL8_PCOI.for,https://github.com/jgomezc1/ABAQUS-US/blob/54181407aa7aa23055e33d354d0b2a3abc266365/UELS/UEL8_PCOI.for,"reconstructed from the commit the acquisition pinned (54181407aa7a), whose owner/repo was recorded in an acquisition URL",54181407aa7aa23055e33d354d0b2a3abc266365,MIT,ca67097ed80bb43451e45c651db9aa454e393a76cdb19d7703e0f9e2c48d2532,56241,fixed,False,UEL,UEL,74,"SUBROUTINE UEL(RHS,AMATRX,SVARS,ENERGY,NDOFEL,NRHS,NSVARS,","this file's Abaqus entry point is SUBROUTINE UEL (UEL, 36 arguments) at line 74; the SUBROUTINE UMAT at line 417 is called by UEL and is that routine's own callee, not this file's entry point",,,,,not_a_umat,external,"this file's Abaqus entry point is SUBROUTINE UEL (UEL, 36 arguments) at line 74; the SUBROUTINE UMAT at line 417 is called by UEL and is that routine's own callee, not this file's entry point",not_a_umat,True,True,True,,,,,finite,,,0,,,,,,,,,,,,,,,,5e2ed5e260cb375745c76079,0.0
jgomezc1__ABAQUS-US/UELS/UEL8_PCOR.for,jgomezc1/ABAQUS-US,jgomezc1__ABAQUS-US/UELS/UEL8_PCOR.for,https://github.com/jgomezc1/ABAQUS-US/blob/54181407aa7aa23055e33d354d0b2a3abc266365/UELS/UEL8_PCOR.for,"reconstructed from the commit the acquisition pinned (54181407aa7a), whose owner/repo was recorded in an acquisition URL",54181407aa7aa23055e33d354d0b2a3abc266365,MIT,51ad0a29a12e27e474f6a6f790037a27abdc3bef0fad5b26572da975bcd58159,52786,fixed,False,UEL,UEL,72,"SUBROUTINE UEL(RHS,AMATRX,SVARS,ENERGY,NDOFEL,NRHS,NSVARS,","this file's Abaqus entry point is SUBROUTINE UEL (UEL, 36 arguments) at line 72; the SUBROUTINE UMAT at line 411 is called by UEL and is that routine's own callee, not this file's entry point",,,,,not_a_umat,external,"this file's Abaqus entry point is SUBROUTINE UEL (UEL, 36 arguments) at line 72; the SUBROUTINE UMAT at line 411 is called by UEL and is that routine's own callee, not this file's entry point",not_a_umat,True,True,True,,,,,finite,,,0,,,,,,,,,,,,,,,,e576389f5c5ed2a4b1b5fc48,0.0
jgomezc1__ABAQUS-US/UELS/UEL8_PCOR_KIN.for,jgomezc1/ABAQUS-US,jgomezc1__ABAQUS-US/UELS/UEL8_PCOR_KIN.for,https://github.com/jgomezc1/ABAQUS-US/blob/54181407aa7aa23055e33d354d0b2a3abc266365/UELS/UEL8_PCOR_KIN.for,"reconstructed from the commit the acquisition pinned (54181407aa7a), whose owner/repo was recorded in an acquisition URL",54181407aa7aa23055e33d354d0b2a3abc266365,MIT,dc06eed074ec92f2ed0d701245c9a7cccaebe500097c6d0b6ad4df7d88c7bf5b,54761,fixed,False,UEL,UEL,75,"SUBROUTINE UEL(RHS,AMATRX,SVARS,ENERGY,NDOFEL,NRHS,NSVARS,","this file's Abaqus entry point is SUBROUTINE UEL (UEL, 36 arguments) at line 75; the SUBROUTINE UMAT at line 426 is called by UEL and is that routine's own callee, not this file's entry point",,,,,not_a_umat,external,"this file's Abaqus entry point is SUBROUTINE UEL (UEL, 36 arguments) at line 75; the SUBROUTINE UMAT at line 426 is called by UEL and is that routine's own callee, not this file's entry point",not_a_umat,True,True,True,,,,,finite,,,0,,,,,,,,,,,,,,,,fa6479162e4396353db0bf7a,0.0
jgomezc1__ABAQUS-US/UELS/UEL8_VPDCL.for,jgomezc1/ABAQUS-US,jgomezc1__ABAQUS-US/UELS/UEL8_VPDCL.for,https://github.com/jgomezc1/ABAQUS-US/blob/54181407aa7aa23055e33d354d0b2a3abc266365/UELS/UEL8_VPDCL.for,"reconstructed from the commit the acquisition pinned (54181407aa7a), whose owner/repo was recorded in an acquisition URL",54181407aa7aa23055e33d354d0b2a3abc266365,MIT,4b309b04ae41a7c09a911efb48a04ba83cb2fe4fbe7443d4292765724a776473,55172,fixed,False,UEL,UEL,43,"SUBROUTINE UEL(RHS,AMATRX,SVARS,ENERGY,NDOFEL,NRHS,NSVARS,","this file's Abaqus entry point is SUBROUTINE UEL (UEL, 36 arguments) at line 43; the SUBROUTINE UMAT at line 276 is called by UEL and is that routine's own callee, not this file's entry point; ifort -syntax-only accepted the published text as fixed form",other_abaqus_routine,True,,,not_a_umat,external,Semantic check failed: no_ddsdde_read_after_disabled_assignment.,,True,False,False,6,,,,finite,,,,,,,,,,,,,,,,,,,,
jgomezc1__ABAQUS-US/UELS/UEL8_VPDCO.for,jgomezc1/ABAQUS-US,jgomezc1__ABAQUS-US/UELS/UEL8_VPDCO.for,https://github.com/jgomezc1/ABAQUS-US/blob/54181407aa7aa23055e33d354d0b2a3abc266365/UELS/UEL8_VPDCO.for,"reconstructed from the commit the acquisition pinned (54181407aa7a), whose owner/repo was recorded in an acquisition URL",54181407aa7aa23055e33d354d0b2a3abc266365,MIT,bc5623da224add5f032b0f07edb5fd2941b08365065d4b66e07da7b0787a4d0d,59830,fixed,False,UEL,UEL,45,"SUBROUTINE UEL(RHS,AMATRX,SVARS,ENERGY,NDOFEL,NRHS,NSVARS,","this file's Abaqus entry point is SUBROUTINE UEL (UEL, 36 arguments) at line 45; the SUBROUTINE UMAT at line 402 is called by UEL and is that routine's own callee, not this file's entry point",,,,,not_a_umat,external,"this file's Abaqus entry point is SUBROUTINE UEL (UEL, 36 arguments) at line 45; the SUBROUTINE UMAT at line 402 is called by UEL and is that routine's own callee, not this file's entry point",not_a_umat,True,True,True,,,,,finite,,,0,,,,,,,,,,,,,,,,060dcceed085f361805211e4,0.0
jgomezc1__ABAQUS-US/UELS/UEL9_ECL.for,jgomezc1/ABAQUS-US,jgomezc1__ABAQUS-US/UELS/UEL9_ECL.for,https://github.com/jgomezc1/ABAQUS-US/blob/54181407aa7aa23055e33d354d0b2a3abc266365/UELS/UEL9_ECL.for,"reconstructed from the commit the acquisition pinned (54181407aa7a), whose owner/repo was recorded in an acquisition URL",54181407aa7aa23055e33d354d0b2a3abc266365,MIT,8a58c706558851a8a638fdfb40fac67f4980177115eaba69c00d57d9fc1b80d5,43314,fixed,False,UEL,UEL,44,"SUBROUTINE UEL(RHS,AMATRX,SVARS,ENERGY,NDOFEL,NRHS,NSVARS,","this file's Abaqus entry point is SUBROUTINE UEL (UEL, 36 arguments) at line 44; the SUBROUTINE UMAT at line 255 is called by UEL and is that routine's own callee, not this file's entry point",,,,,not_a_umat,external,"this file's Abaqus entry point is SUBROUTINE UEL (UEL, 36 arguments) at line 44; the SUBROUTINE UMAT at line 255 is called by UEL and is that routine's own callee, not this file's entry point",not_a_umat,True,True,True,,,,,finite,,,0,,,,,,,,,,,,,,,,6b0471d76f5c6af09e1ee2d8,0.0
