source,repository,bytes,lines,form,kinematics,ntens,nstatv_hint,anchor_status,helper_routines,declared_unsupported,stage,blocker_kind,blocker,original_compiles,compiled,compile_error,seconds
CAEAssistant-Group__Path-dependent-Abaqus-model-for-the-analysis-of-composite-curing/Path_Dependent-Abaqus-Curing-Subroutine.for,CAEAssistant-Group__Path-dependent-Abaqus-model-for-the-analysis-of-composite-curing,9150,277,fixed,small strain,6,8,ready_with_json_contract,5,,source_does_not_compile,source_does_not_compile,"as shipped: <work>/CAEAssistant-Group__Path-dependent-Abaqus-model-for-the-analysis-of-composite-curing/Path_Dependent-Abaqus-Curing-Subroutine/baseline/Path_Dependent-Abaqus-Curing-Subroutine.for:37:96:

   37 |  ",no,no,"Path_Dependent-Abaqus-Curing-Subroutine_oti.for:43:16:

   43 |       EXPAN(1) =
      |                1
Error: Invalid character in name at (1)
Path_Dependent-Abaqus-Curing-Subroutine_oti.for:47:19:

   47 |       DEXPANDT(1) =
      |                   1
Error: Invalid character in name at (1)
Pa",1.27
CAEAssistant-Group__UMAT-Abaqus-Isotropic-Elasticity-Isothermal-Suboutine/ISOTROPIC-ELASTICITY.for,CAEAssistant-Group__UMAT-Abaqus-Isotropic-Elasticity-Isothermal-Suboutine,2554,79,fixed,small strain,6,1,ready_with_json_contract,1,io_write,transformed,none,,yes,yes,,1.35
CAEAssistant-Group__UMAT-Abaqus-Tsai-Hill-Orthotropic-Composite-Subroutine/PLANESTRESS-ORTHOTROPIC.for,CAEAssistant-Group__UMAT-Abaqus-Tsai-Hill-Orthotropic-Composite-Subroutine,3869,112,fixed,small strain,6,4,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.43
CAEAssistant-Group__Viscoelastic-Abaqus-model-for-the-analysis-of-composite-curing/Abaqus-Viscoelastic-Curing-Subroutine.for,CAEAssistant-Group__Viscoelastic-Abaqus-model-for-the-analysis-of-composite-curing,9864,298,fixed,small strain,6,5,ready_with_json_contract,5,,semantic_checks_failed,semantic_check,Semantic check failed: stress_path_consumes_the_seed.,,,,0.15
CLD-Rostock__Christensen_FailureIndex/Subroutine/christensen_subroutine.for,Subroutine,6510,204,fixed,small strain,6,23,ready_with_json_contract,1,,generated_not_compiled,compile_failed,"christensen_subroutine_oti.for:253:25:

  253 |       UTIL_FRAC_OTI = MAX(PS_OTI(1), PS_OTI(2), PS_OTI(3))/T
      |                         1
Error: Generic function ‘max’ at (1) is not consistent with a specific intrinsic interface
",yes,no,"christensen_subroutine_oti.for:253:25:

  253 |       UTIL_FRAC_OTI = MAX(PS_OTI(1), PS_OTI(2), PS_OTI(3))/T
      |                         1
Error: Generic function ‘max’ at (1) is not consistent with a specific intrinsic interface
",1.27
CriticalSoilModels__critical-soil-models/src/models/bingham/umat_bingham.f90,bingham,8598,233,free,finite,6,0,ready_with_json_contract,2,module_use,semantic_checks_failed,semantic_check,Semantic check failed: stress_path_consumes_the_seed.; Semantic check failed: stress_oti_update_before_real_stress_extraction.; Semantic check failed: stress_oti_update_before_ddsdde_extraction.; Semantic check failed: ddsdde_extraction_after_selected_stress_regions.; Semantic check failed: ddsdde_e,,,,0.19
CriticalSoilModels__critical-soil-models/src/umat.f90,src,5285,118,free,finite,6,1,ready_with_json_contract,1,module_use,semantic_checks_failed,other,"STRESS_OTI is passed to UMAT_LINEAR, which was neither lifted, inlined, nor transformed with this file. Fortran's implicit interface makes that compile and the callee then reads a hypercomplex element as a single REAL, so the result is wrong with nothing to show for it.; STATEV_OTI is passed to UMAT",,,,0.07
CriticalSoilModels__incremental-driver/src/elastic.f90,src,1666,62,free,small strain,6,0,ready_with_json_contract,1,module_use,source_does_not_compile,source_does_not_compile,"as shipped: <work>/src/elastic/baseline/elastic.f90:2:7:

    2 |    use stdlib_kinds, only: dp
      |       1
Fatal Error: Cannot open module file ‘stdlib_kinds.mod’ for reading at (1): No such file or directory
",no,no,"elastic_oti.f90:2:7:

    2 |    use stdlib_kinds, only: dp
      |       1
Fatal Error: Cannot open module file ‘stdlib_kinds.mod’ for reading at (1): No such file or directory
compilation terminated.
",1.22
Dr-Ning-An__Viscoelastic-RVE-Calculator/ViscoelasticRVEs/umat3dorthotropic_viscoelastic.for,ViscoelasticRVEs,2936,94,fixed,small strain,6,2,ready_with_json_contract,1,io_write,transformed,none,,yes,yes,,1.4
ElmerCSC__elmerfem/fem/src/modules/ElasticSolve.F90,modules,288575,6008,free,,,,,21,io_write;module_use;save,not_a_umat,not_a_umat,the scanner finds no UMAT subroutine in this file,,,,0.42
Farid-Alisafaei__Implant-Fibrotic-Capsule/CellMatrixModel_20241204.for,Farid-Alisafaei__Implant-Fibrotic-Capsule,103118,3247,fixed,small strain,6,97,ready_with_json_contract,14,,semantic_checks_failed,other,"Helper subroutine pass-through used despite lifting limitation: Completed JSON transforms helper call D2WDPRINSTRAIN at lines [1616, 1617], rewriting ['EMODF', 'PRINEMODVAL1', 'PRINSTRAINVAL1'], but helper lifting is not yet safe here: Helper lifting requires source definitions for ['SPRIND']. The c",,,,1.62
GuGuaTT__STEEL-3dPointClouds/AutoGen/ALLcombinedSolid_CMN.for,AutoGen,27872,785,fixed,finite,6,83,ready_with_json_contract,5,,blocked,missing_ddsdde_extraction_point,"DDSDDE assignment is not covered by an old tangent replacement region: ddsdde(i, j) = 0.; DDSDDE assignment is not covered by an old tangent replacement region: ddsdde(1, 1) = elastic_modulus; DDSDDE assignment is not covered by an old tangent replacement region: ddsdde(1, 1) = (elastic_modulus * A_",,,,0.21
GuGuaTT__STEEL-3dPointClouds/AutoGen/ALLcombinedSolid_DMN.for,AutoGen,27872,785,fixed,finite,6,83,ready_with_json_contract,5,,blocked,missing_ddsdde_extraction_point,"DDSDDE assignment is not covered by an old tangent replacement region: ddsdde(i, j) = 0.; DDSDDE assignment is not covered by an old tangent replacement region: ddsdde(1, 1) = elastic_modulus; DDSDDE assignment is not covered by an old tangent replacement region: ddsdde(1, 1) = (elastic_modulus * A_",,,,0.2
HIT-FSW-314__abaqus/abaqus-umat/uel/UEL9_VPDCL.for,uel,58067,1697,fixed,finite,6,80,ready_with_json_contract,29,io_write,transformed,none,,yes,yes,,1.93
