source,repository,bytes,lines,form,kinematics,ntens,nstatv_hint,anchor_status,helper_routines,declared_unsupported,stage,blocker_kind,blocker,original_compiles,compiled,compile_error,seconds
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/HelixUp/Th01/PureGravity.for,Th01,18689,580,fixed,finite,6,26,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.72
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ParabolicDown/Th001/BodyForce-Growth-2Stages.for,Th001,20371,624,fixed,finite,6,28,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.73
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ParabolicDown/Th001/PureGravity.for,Th001,18617,580,fixed,finite,6,24,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.75
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ParabolicDown/Th002/BodyForce-Growth-2Stages.for,Th002,20386,625,fixed,finite,6,28,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.81
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ParabolicDown/Th002/PureGrowth.for,Th002,18517,578,fixed,finite,6,27,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.74
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ParabolicDown/Th005/BodyForce-Growth-2Stages.for,Th005,20361,625,fixed,finite,6,28,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.74
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ParabolicDown/Th005/PureGravity.for,Th005,18617,580,fixed,finite,6,24,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.82
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ParabolicDown/Th01/PureGrowth.for,Th01,18517,578,fixed,finite,6,27,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.63
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ParabolicUp/Th001/PureGrowth.for,Th001,18521,578,fixed,finite,6,27,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.82
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ParabolicUp/Th002/PureGrowth.for,Th002,18520,578,fixed,finite,6,27,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.81
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ParabolicUp/Th01/BodyForce-Growth-2Stages.for,Th01,20368,622,fixed,finite,6,28,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.74
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-4/Experiment-DRAGONSKIN20-ArcDown/Th01/PureGravity.for,Th01,18527,578,fixed,finite,6,25,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.65
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-4/Experiment-DRAGONSKIN20-ArcDown/Th01/PureGrowth.for,Th01,18875,586,fixed,finite,6,27,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.81
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-4/Experiment-DRAGONSKIN20-Flat/Th005/PureGrowth.for,Th005,18609,582,fixed,finite,6,27,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.73
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-4/Experiment-DRAGONSKIN20-Flat/Th01/PureGrowth.for,Th01,18608,582,fixed,finite,6,27,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.71
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-4/Experiment-ECOFLEX0030-ArcDown/Th005/PureGravity.for,Th005,18524,578,fixed,finite,6,25,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.75
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-4/Experiment-ECOFLEX0030-ArcDown/Th01/PureGravity.for,Th01,18523,578,fixed,finite,6,25,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.62
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-4/Experiment-ECOFLEX0030-Flat/Th005/BodyForce-Growth-2Stages.for,Th005,19147,599,fixed,finite,6,30,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.71
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-4/Experiment-ECOFLEX0030-Flat/Th005/PureGrowth.for,Th005,18605,582,fixed,finite,6,27,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.68
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-4/Experiment-ECOFLEX0030-Flat/Th01/BodyForce-Growth-2Stages.for,Th01,19146,599,fixed,finite,6,30,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.75
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/PathSensitivity/Th001-1MPa/BodyForce-Growth-GravityFirst.for,Th001-1MPa,19395,611,fixed,finite,6,26,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.78
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/PathSensitivity/Th001-5MPa/BodyForce-Growth-Simultaneous.for,Th001-5MPa,19477,609,fixed,finite,6,28,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.69
Jeff97__Realization-of-planar-and-surface-conformal-mappings/Analytical_Example/2D/inputFile/Growth-EX.for,inputFile,6379,200,fixed,finite,6,19,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.45
Jeff97__Realization-of-planar-and-surface-conformal-mappings/Analytical_Example/2D/inputFile/Growth-Z2.for,inputFile,6428,202,fixed,finite,6,19,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.37
Jeff97__Realization-of-planar-and-surface-conformal-mappings/Analytical_Example/2D/inputFile/Growth-frac.for,inputFile,6460,203,fixed,finite,6,19,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.38
Jeff97__Realization-of-planar-and-surface-conformal-mappings/Analytical_Example/3D/InputFile/Growth-MinSur1.for,InputFile,7239,220,fixed,finite,6,26,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.45
Jeff97__Realization-of-planar-and-surface-conformal-mappings/Analytical_Example/3D/InputFile/Growth-MinSur2.for,InputFile,7483,230,fixed,finite,6,28,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.58
Jeff97__Realization-of-planar-and-surface-conformal-mappings/Analytical_Example/3D/InputFile/Growth-MinSur3.for,InputFile,7089,221,fixed,finite,6,29,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.44
Jeff97__Realization-of-planar-and-surface-conformal-mappings/Analytical_Example/3D/MMAFile/Example1/Growth-MinSur1.for,Example1,7287,221,fixed,finite,6,26,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.44
Jeff97__Realization-of-planar-and-surface-conformal-mappings/Analytical_Example/3D/MMAFile/Example2/Growth-MinSur2.for,Example2,7170,223,fixed,finite,6,28,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.45
Jeff97__Realization-of-planar-and-surface-conformal-mappings/Analytical_Example/3D/MMAFile/Example3-Sphere/Growth-MinSur3.for,Example3-Sphere,7010,221,fixed,finite,6,27,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.44
Jeff97__Realization-of-planar-and-surface-conformal-mappings/Analytical_Example/3D/MMAFile/Example4-Torus/Growth-MinSur3.for,Example4-Torus,7010,221,fixed,finite,6,27,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.44
Jeff97__Realization-of-planar-and-surface-conformal-mappings/Bunny/Part1/ABAQUS_files/Growth-Bunny-Part1.for,ABAQUS_files,9094,296,fixed,finite,6,29,ready_with_json_contract,1,data;io_open;io_read;save,transformed,none,,yes,yes,,1.52
Jeff97__Realization-of-planar-and-surface-conformal-mappings/Bunny/Part2/ABAQUS_files/Growth-Bunny-Part2.for,ABAQUS_files,9094,296,fixed,finite,6,29,ready_with_json_contract,1,data;io_open;io_read;save,transformed,none,,yes,yes,,1.58
Jeff97__Realization-of-planar-and-surface-conformal-mappings/Hunman_face/ABAQUS_files/Growth-Human-face.for,ABAQUS_files,9089,296,fixed,finite,6,29,ready_with_json_contract,1,data;io_open;io_read;save,transformed,none,,yes,yes,,1.45
Jeff97__Realization-of-planar-and-surface-conformal-mappings/Instability_Analysis/Growth-Sphere.for,Instability_Analysis,7089,221,fixed,finite,6,29,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.47
Jeff97__Realization-of-planar-and-surface-conformal-mappings/Mesh_Convergence_test/2D/EX/10/Growth-EX.for,10,6186,196,fixed,finite,6,15,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.42
Jeff97__Realization-of-planar-and-surface-conformal-mappings/Mesh_Convergence_test/2D/Frac/10/Growth-Frac.for,10,6236,196,fixed,finite,6,15,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.46
Jeff97__Realization-of-planar-and-surface-conformal-mappings/Mesh_Convergence_test/2D/Z2/10/Growth-Z2.for,10,6176,196,fixed,finite,6,15,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.35
Jeff97__Realization-of-planar-and-surface-conformal-mappings/Mesh_Convergence_test/3D/Catenoid/10/Growth-Catenoid.for,10,7397,226,fixed,finite,6,29,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.51
Jeff97__Realization-of-planar-and-surface-conformal-mappings/Mesh_Convergence_test/3D/Helicoid/10/Growth-Helicoid.for,10,7239,220,fixed,finite,6,26,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.52
Jeff97__Realization-of-planar-and-surface-conformal-mappings/Mesh_Convergence_test/3D/Sphere/10/Growth-Sphere.for,10,7138,222,fixed,finite,6,26,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.46
Jeff97__Realization-of-planar-and-surface-conformal-mappings/Mesh_Convergence_test/Alex/20470/Growth-Alex.for,20470,9070,296,fixed,finite,6,29,ready_with_json_contract,1,data;io_open;io_read;save,transformed,none,,yes,yes,,1.52
Jeff97__Realization-of-planar-and-surface-conformal-mappings/Mesh_Convergence_test/Alex/749/Growth-Alex.for,749,9069,296,fixed,finite,6,29,ready_with_json_contract,1,data;io_open;io_read;save,transformed,none,,yes,yes,,1.51
Jeff97__Realization-of-planar-and-surface-conformal-mappings/Model_car/ABAQUS_files/Growth-Model-car.for,ABAQUS_files,9083,296,fixed,finite,6,29,ready_with_json_contract,1,data;io_open;io_read;save,transformed,none,,yes,yes,,1.51
Jeff97__growth-of-circular-plate/Bending/Growth-CASE1.for,Bending,5944,187,fixed,finite,6,13,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.4
Jeff97__growth-of-circular-plate/Bending/Growth-CASE2.for,Bending,5968,187,fixed,finite,6,14,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.48
Jeff97__growth-of-circular-plate/Bending/Growth-CASE3.for,Bending,6013,187,fixed,finite,6,15,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.39
Jeff97__growth-of-circular-plate/Combined/Growth-CASE1.for,Combined,5968,187,fixed,finite,6,15,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.32
Jeff97__growth-of-circular-plate/Combined/Growth-CASE2.for,Combined,5958,187,fixed,finite,6,14,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.4
Jeff97__growth-of-circular-plate/Combined/Growth-CASE3.for,Combined,5983,187,fixed,finite,6,14,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.41
Jeff97__growth-of-circular-plate/ShapeProgramming/Growth-CASE1.for,ShapeProgramming,6005,187,fixed,finite,6,14,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.4
Jeff97__growth-of-circular-plate/ShapeProgramming/Growth-CASE2.for,ShapeProgramming,6056,188,fixed,finite,6,15,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.47
Jeff97__growth-of-circular-plate/ShapeProgramming/Growth-CASE3.for,ShapeProgramming,6118,189,fixed,finite,6,15,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.34
Jeff97__growth-of-circular-plate/ShapeProgramming/Growth-CASE4.for,ShapeProgramming,6057,188,fixed,finite,6,15,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.46
Jeff97__growth-of-circular-plate/ShapeProgramming/Growth-CASE5.for,ShapeProgramming,7090,205,fixed,finite,6,15,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.5
Jeff97__growth-of-circular-plate/ShapeProgramming/Growth-CASE6.for,ShapeProgramming,6171,190,fixed,finite,6,15,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.45
Jeff97__growth-of-circular-plate/Wrinkle/l1-is-1--l2-is-101.for,Wrinkle,6804,197,fixed,finite,6,16,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.35
Jeff97__growth-of-circular-plate/Wrinkle/l1-is-1--l2-is-102.for,Wrinkle,6804,197,fixed,finite,6,16,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.45
Jeff97__growth-of-circular-plate/Wrinkle/l1-is-1--l2-is-103.for,Wrinkle,6804,197,fixed,finite,6,16,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.42
Jeff97__growth-of-circular-plate/Wrinkle/l1-is-1--l2-is-11.for,Wrinkle,6803,197,fixed,finite,6,16,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.45
Jeff97__growth-of-circular-plate/Wrinkle/l1-is-1--l2-is-12.for,Wrinkle,6803,197,fixed,finite,6,16,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.4
Jeff97__growth-of-circular-plate/Wrinkle/l1-is-1--l2-is-13.for,Wrinkle,6803,197,fixed,finite,6,16,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.44
Jeff97__growth-of-shell/Input files and UMAT/Example1/SweetMelon.for,Example1,7587,214,fixed,finite,6,30,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.52
Jeff97__growth-of-shell/Input files and UMAT/Example2/MorningGlory.for,Example2,8388,230,fixed,finite,6,30,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.47
Jeff97__growth-of-shell/Input files and UMAT/Example3/Trachea.for,Example3,8007,222,fixed,finite,6,30,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.4
Jeff97__growth-of-shell/Input files and UMAT/Example4/Apple.for,Example4,15201,370,fixed,finite,6,50,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.82
Jeff97__growth-of-shell/Input files and UMAT/Example5/CereusForbesiiSpiralis.for,Example5,12394,314,fixed,finite,6,44,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.74
Jeff97__growth-of-shell/Input files and UMAT/Example6/TendrilOfPumpkin.for,Example6,20439,508,fixed,finite,6,52,ready_with_json_contract,1,data;io_open;io_read;save,transformed,none,,yes,yes,,1.98
JuliaFEM__UMAT.jl/umat_models/drucker_prager_plasticity.f90,umat_models,33173,860,free,small strain,6,39,ready_with_json_contract,3,io_open;io_write,blocked,missing_ddsdde_extraction_point,"DDSDDE assignment is not covered by an old tangent replacement region: DDSDDE(K2,K1)=0.0; DDSDDE assignment is not covered by an old tangent replacement region: DDSDDE(K2,K1)=ELAM; DDSDDE assignment is not covered by an old tangent replacement region: DDSDDE(K1,K1)=EG2+ELAM; DDSDDE assignment is not",,,,0.28
JuliaFEM__UMAT.jl/umat_models/gurson_porous_plasticity.f90,umat_models,33420,1218,free,small strain,6,121,ready_with_json_contract,25,,semantic_checks_failed,other,"Helper subroutine pass-through used despite lifting limitation: Completed JSON transforms helper call LOADSTATEV at lines [66, 67], rewriting ['DEP', 'DEQ', 'EELAS', 'EP', 'EPLAS', 'F', 'STATEV', 'X'], but helper lifting is not yet safe here: Helper lifting for LINEARSOLVE reached external or undefi",,,,0.64
KianAbd__vCANN_FEM/Abaqus/umat.f90,Abaqus,91786,2113,free,finite,6,88,ready_with_json_contract,38,module_use,blocked,missing_ddsdde_extraction_point,"DDSDDE assignment is not covered by an old tangent replacement region: DDSDDE(mm,nn) = CC_tot(ii,jj,kk,ll)",,,,0.53
KianAbd__vCANN_FEM/Abaqus/umat_vCANN.f90,Abaqus,140693,3072,free,finite,6,93,ready_with_json_contract,46,module_use;save,source_does_not_compile,source_does_not_compile,"as shipped: <work>/Abaqus/umat_vCANN/baseline/umat_vCANN.f90:3: Error: Can't open included file 'precision.f90'
",no,no,"umat_vCANN_oti.f90:3: Error: Can't open included file 'precision.f90'
",2.17
KianAbd__vCANN_FEM/Abaqus/umat_vCANN.for,Abaqus,122017,2777,free,finite,6,88,ready_with_json_contract,46,module_use;save,source_does_not_compile,source_does_not_compile,"as shipped: <work>/Abaqus/umat_vCANN/baseline/umat_vCANN.for:3: Error: Can't open included file 'precision.f90'
",no,no,"umat_vCANN_oti.for:3: Error: Can't open included file 'precision.f90'
",2.43
KianAbd__vCANN_FEM/TensorFlow/Results_Liao_Thermo/20260601-103627/UMAT/umat_vCANN.for,UMAT,140693,3072,free,finite,6,93,ready_with_json_contract,46,module_use;save,source_does_not_compile,source_does_not_compile,"as shipped: <work>/UMAT/umat_vCANN/baseline/umat_vCANN.for:3: Error: Can't open included file 'precision.f90'
",no,no,"umat_vCANN_oti.for:3: Error: Can't open included file 'precision.f90'
",2.59
KnutAM__MaterialModels/models/CrystalPlasticity/src/taylor_model.f90,src,7146,138,free,finite,6,3,ready_with_json_contract,1,module_use,blocked,deferred_shape_allocatable,"QROT is declared with a deferred shape (:, :) and is read on the stress path. Its extent is fixed by an ALLOCATE at run time whose bound this routine cannot evaluate where declarations are written, so there is no bound to declare a shadow with and none to count an initialisation loop to.; SUB_STATEV",,,,0.11
KnutAM__MaterialModels/models/GenFiniteStrain/src/GeneralFiniteStrain.for,src,7282,149,free,finite,6,7,ready_with_json_contract,1,io_write;module_use,semantic_checks_failed,other,"NEWTON_TOLERANCE_OTI is passed to SME_SETPARAM, which was neither lifted, inlined, nor transformed with this file. Fortran's implicit interface makes that compile and the callee then reads a hypercomplex element as a single REAL, so the result is wrong with nothing to show for it.; X0_OTI is passed ",,,,0.08
KnutAM__MaterialModels/models/GenSmallStrain/src/GeneralSmallStrain.f90,src,7207,146,free,small strain,6,10,ready_with_json_contract,1,io_write;module_use,blocked,deferred_shape_allocatable,"JAC_INV is declared with a deferred shape (:, :) and is read on the stress path. Its extent is fixed by an ALLOCATE at run time whose bound this routine cannot evaluate where declarations are written, so there is no bound to declare a shadow with and none to count an initialisation loop to.; MPAR is",,,,0.06
KnutAM__MaterialModels/models/MM2021/src/umat.f90,src,6340,123,free,finite,6,11,ready_with_json_contract,1,module_use,blocked,deferred_shape_allocatable,"JAC_INV is declared with a deferred shape (:, :) and is read on the stress path. Its extent is fixed by an ALLOCATE at run time whose bound this routine cannot evaluate where declarations are written, so there is no bound to declare a shadow with and none to count an initialisation loop to.; PARAM i",,,,0.05
KnutAM__MaterialModels/models/Qin2018/src/umat.f90,src,6336,123,free,finite,6,11,ready_with_json_contract,1,module_use,blocked,deferred_shape_allocatable,"JAC_INV is declared with a deferred shape (:, :) and is read on the stress path. Its extent is fixed by an ALLOCATE at run time whose bound this routine cannot evaluate where declarations are written, so there is no bound to declare a shadow with and none to count an initialisation loop to.; PARAM i",,,,0.05
LallyLabTCD__localBasisAbaqus/Case studies/umat_MA_global.for,Case studies,4750,144,fixed,finite,6,6,ready_with_json_contract,1,,semantic_checks_failed,other,"DFGRD1_OTI is passed to KSTRESS_CALC, which was neither lifted, inlined, nor transformed with this file. Fortran's implicit interface makes that compile and the callee then reads a hypercomplex element as a single REAL, so the result is wrong with nothing to show for it.; XKIRCH_OTI is passed to KST",,,,0.07
LallyLabTCD__localBasisAbaqus/Case studies/umat_MA_local.for,Case studies,6077,179,fixed,finite,6,6,ready_with_json_contract,1,,semantic_checks_failed,other,"DFGRD1_OTI is passed to KPOLARDECOMP, which was neither lifted, inlined, nor transformed with this file. Fortran's implicit interface makes that compile and the callee then reads a hypercomplex element as a single REAL, so the result is wrong with nothing to show for it.; U_OTI is passed to KPOLARDE",,,,0.08
LallyLabTCD__localBasisAbaqus/Lesson C - fibre reinforced anistropic models/Abaqus/umat_MA_global.for,Abaqus,4591,138,fixed,finite,6,6,ready_with_json_contract,1,,semantic_checks_failed,other,"DFGRD1_OTI is passed to KSTRESS_CALC, which was neither lifted, inlined, nor transformed with this file. Fortran's implicit interface makes that compile and the callee then reads a hypercomplex element as a single REAL, so the result is wrong with nothing to show for it.; XKIRCH_OTI is passed to KST",,,,0.07
LallyLabTCD__localBasisAbaqus/Lesson C - fibre reinforced anistropic models/Abaqus/umat_MA_local.for,Abaqus,5902,173,fixed,finite,6,6,ready_with_json_contract,1,,semantic_checks_failed,other,"DFGRD1_OTI is passed to KPOLARDECOMP, which was neither lifted, inlined, nor transformed with this file. Fortran's implicit interface makes that compile and the callee then reads a hypercomplex element as a single REAL, so the result is wrong with nothing to show for it.; U_OTI is passed to KPOLARDE",,,,0.08
MCM-QMUL__PhaseFieldComp/Subroutine/UELUMATPhaseField_AT2.for,Subroutine,23084,681,fixed,small strain,6,24,ready_with_json_contract,6,data;io_write;save,generated_not_compiled,compile_failed,"UELUMATPhaseField_AT2_oti.for:725:36:

  725 |      1abs(EPRIN_OTI(1)+EPRIN_OTI(2)+)
      |                                    1
Error: Syntax error in expression at (1)
",yes,no,"UELUMATPhaseField_AT2_oti.for:725:36:

  725 |      1abs(EPRIN_OTI(1)+EPRIN_OTI(2)+)
      |                                    1
Error: Syntax error in expression at (1)
",1.58
PeriDoX__PeriDoX/Publications/2022_JOSS/data/UMAT/base.f,UMAT,2030,59,fixed,small strain,6,2,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.3
PeriHub__PeriLab.jl/src/Models/Material/UMATs/base.f,UMATs,2020,59,fixed,small strain,6,2,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.32
PeriHub__PeriLab.jl/src/Models/Material/UMATs/usertest.f,UMATs,1452,47,fixed,finite,6,2,ready_with_json_contract,1,,semantic_checks_failed,semantic_check,Semantic check failed: ddsdde_extraction_after_selected_stress_regions.,,,,0.09
PlatypusBytes__ConstitutiveModels/fortran_models/linear_elastic/UMAT_LinearElasticity.f90,linear_elastic,2143,71,free,small strain,6,4,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.28
PlatypusBytes__ConstitutiveModels/fortran_models/mohr_coulomb/UMAT_MohrCoulomb.f,mohr_coulomb,40293,1296,fixed,small strain,6,18,ready_with_json_contract,27,io_write,transformed,none,,yes,yes,,2.22
RafalMichalczyk__PavementDesign/Subroutines/umat_gmaxwell.for,Subroutines,4175,128,fixed,,,,,0,,not_a_umat,not_a_umat,the scanner finds no UMAT subroutine in this file,,,,0.01
RafalMichalczyk__PavementDesign/Subroutines/umat_ms_plast.for,Subroutines,4686,142,fixed,,,,,0,,not_a_umat,not_a_umat,the scanner finds no UMAT subroutine in this file,,,,0.01
ReachOptimum__mlpcp-interp-dic/abaqus/UMMDp_FLC.f,abaqus,283100,8995,fixed,small strain,6,499,ready_with_json_contract,91,common_block;data;io_open;io_write,blocked,missing_ddsdde_extraction_point,"DDSDDE assignment is not covered by an old tangent replacement region: ddsdde(i,j)=delast(i,j); DDSDDE assignment is not covered by an old tangent replacement region: ddsdde(i,j)=0.0; DDSDDE assignment is not covered by an old tangent replacement region: ddsdde(i,j)=delast(i,j); DDSDDE assignment is",,,,2.57
RickAlb__UMAT-DFD-Lebedev/all_subroutines/UMAT_DFD_LEB.for,all_subroutines,45356,1047,fixed,finite,6,17,ready_with_json_contract,3,io_open;io_read;io_write,blocked,missing_ddsdde_extraction_point,"DDSDDE assignment is not covered by an old tangent replacement region: ddsdde = (one/det)*(vg*isostifg + volstif); DDSDDE assignment is not covered by an old tangent replacement region: ddsdde = ddsdde + (one/det)*(vf(ii)*stifcf(ii,:,:)); DDSDDE assignment is not covered by an old tangent replacemen",,,,0.23
RitioL__PolyFatigueCrackSim/CPFEM-val/subroutines_revised.for,CPFEM-val,92296,2894,fixed,small strain,6,69,ready_with_json_contract,12,io_write,semantic_checks_failed,semantic_check,Semantic check failed: old_ddsdde_assignments_disabled.,,,,0.83
RitioL__PolyFatigueCrackSim/workplace/huang_umat_97.for,workplace,92007,2884,fixed,small strain,6,69,ready_with_json_contract,12,io_write,semantic_checks_failed,semantic_check,Semantic check failed: old_ddsdde_assignments_disabled.,,,,0.87
RitioL__PolyFatigueCrackSim/workplace/subroutines3_revised.for,workplace,93798,2950,fixed,small strain,6,70,ready_with_json_contract,13,common_block;io_write,semantic_checks_failed,semantic_check,Semantic check failed: old_ddsdde_assignments_disabled.,,,,0.9
Shi2oon__DIC2ABAQUS/OXFORD-UMAT/Example - Polycrytal with PROPS/OXFORD-UMAT.f,Example - Polycrytal with PROPS,18127,601,fixed,finite,6,6,ready_with_json_contract,2,io_write;module_use,blocked,module_names_unresolved,"IP_COUNT appears as IP_COUNT(...) on the stress path but is not declared anywhere in this source, which USEs INITIALIZATIONS, USERINPUTS, GLOBALVARIABLES, STRAINGRADIENTS, BACKSTRESS, MESHPROP, USEROUTPUTS, CPSOLVER without defining it. The transformer cannot read that module, so it cannot tell whet",,,,0.12
Shi2oon__DIC2ABAQUS/OXFORD-UMAT/Example - Residual deformation/OXFORD-UMAT.f,Example - Residual deformation,9069,283,fixed,finite,6,4,ready_with_json_contract,1,module_use,blocked,module_names_unresolved,"IP_COUNT appears as IP_COUNT(...) on the stress path but is not declared anywhere in this source, which USEs USERINPUTS, GLOBALVARIABLES, INITIALIZATIONS, CPSOLVER without defining it. The transformer cannot read that module, so it cannot tell whether IP_COUNT is an array to promote or a call into i",,,,0.07
Shi2oon__DIC2ABAQUS/OXFORD-UMAT/OXFORD-UMAT v2.26/OXFORD-UMAT.f,OXFORD-UMAT v2.26,18198,603,fixed,finite,6,6,ready_with_json_contract,2,io_write;module_use,blocked,module_names_unresolved,"IP_COUNT appears as IP_COUNT(...) on the stress path but is not declared anywhere in this source, which USEs INITIALIZATIONS, USERINPUTS, GLOBALVARIABLES, STRAINGRADIENTS, BACKSTRESS, MESHPROP, USEROUTPUTS, CPSOLVER without defining it. The transformer cannot read that module, so it cannot tell whet",,,,0.11
Shi2oon__DIC2ABAQUS/OXFORD-UMAT/OXFORD-UMAT v3.1/OXFORD-UMAT.f,OXFORD-UMAT v3.1,9115,283,fixed,finite,6,4,ready_with_json_contract,1,module_use,blocked,module_names_unresolved,"IP_COUNT appears as IP_COUNT(...) on the stress path but is not declared anywhere in this source, which USEs USERINPUTS, GLOBALVARIABLES, INITIALIZATIONS, CPSOLVER without defining it. The transformer cannot read that module, so it cannot tell whether IP_COUNT is an array to promote or a call into i",,,,0.07
