increment,stress_1,stress_2,stress_3,stress_4,statev_1,statev_2
1,  1.7307692714491549E+02,  2.8074004916334161E-06,  5.1923081048932580E+01,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
2,  2.7343512566673058E+02,  2.9385176060839235E-02,  9.4986494778895434E+01,  0.0000000000000000E+00,  3.5508110920343502E-04,  4.2822781769934265E-01
3,  2.7836901768187471E+02,  9.0206480554577695E-05,  1.1872841558879809E+02,  0.0000000000000000E+00,  1.6093686890864087E-03,  1.9408986390382088E+00
4,  2.7941248012553683E+02,  3.2872842541520342E-04,  1.2457809697613233E+02,  0.0000000000000000E+00,  2.0318954949969836E-03,  2.4504659669663624E+00
