increment,branch,stress_component,order,directions,recovery_factor,oti_derivative,fd_reference,absolute_error,relative_error,absolute_tolerance,relative_tolerance,passed
3,plastic,1,2,1|1,2,-6850735.565456558,-6850732.303225219,3.2622313387691975,4.7618701781723063e-07,0.002,2e-05,True
3,plastic,2,2,1|1,2,-4070660.6100541335,-4070657.3476163875,3.2624377459287643,8.01451670490746e-07,0.002,2e-05,True
3,plastic,3,2,1|1,2,10921396.175510716,10921399.437926948,3.2624162323772907,2.9871778345985924e-07,0.002,2e-05,True
3,plastic,4,2,1|1,2,0.0,0.0,0.0,0.0,0.002,2e-05,True
3,plastic,1,2,1|2,1,-4070660.6100541395,-4070659.5736719817,1.0363821578212082,2.5459802648775096e-07,0.002,2e-05,True
3,plastic,2,2,1|2,1,1438830.8368715537,1438831.873372917,1.0365013633854687,7.203769825835849e-07,0.002,2e-05,True
3,plastic,3,2,1|2,1,2631829.7731825816,2631830.809638046,1.0364554645493627,3.938153853787834e-07,0.002,2e-05,True
3,plastic,4,2,1|2,1,0.0,0.0,0.0,0.0,0.002,2e-05,True
3,plastic,1,3,1|1|1,6,6936102117.44278,6936099702.8125,2414.6302795410156,3.481249610597209e-07,5.0,2e-05,True
3,plastic,2,3,1|1|1,6,1063660371.8484993,1063657954.8398438,2417.0086555480957,2.272350009004903e-06,5.0,2e-05,True
3,plastic,3,3,1|1|1,6,-7999762489.291302,-7999764892.53125,2403.239948272705,3.0041382222575325e-07,5.0,2e-05,True
3,plastic,4,3,1|1|1,6,0.0,0.0,0.0,0.0,5.0,2e-05,True
3,plastic,1,3,1|1|2,2,1063660371.8485227,1063660958.985218,587.1366953849792,5.519960946438562e-07,5.0,2e-05,True
3,plastic,2,3,1|1|2,2,-3479357796.3340793,-3479357215.2109795,581.1230998039246,1.6702021862086373e-07,5.0,2e-05,True
3,plastic,3,3,1|1|2,2,2415697424.485572,2415698008.7548265,584.2692546844482,2.418635328451549e-07,5.0,2e-05,True
3,plastic,4,3,1|1|2,2,0.0,0.0,0.0,0.0,5.0,2e-05,True
3,plastic,1,4,1|1|1|1,24,-8206506355279.887,-8206503849472.0,2505807.88671875,3.0534404998133804e-07,40000.0,2e-05,True
3,plastic,2,4,1|1|1|1,24,1513875842071.8706,1513877935341.25,2093269.3793945312,1.3827200532668297e-06,40000.0,2e-05,True
3,plastic,3,4,1|1|1|1,24,6692630513208.016,6692632499968.0,1986759.984375,2.968577737361942e-07,40000.0,2e-05,True
3,plastic,4,4,1|1|1|1,24,0.0,0.0,0.0,0.0,40000.0,2e-05,True
3,plastic,1,4,1|1|2|2,4,3959827414756.5596,3959826490593.1562,924163.4033203125,2.3338476820387583e-07,40000.0,2e-05,True
3,plastic,2,4,1|1|2|2,4,-970241628623.8972,-970242659765.8427,1031141.9454345703,1.062767066625812e-06,40000.0,2e-05,True
3,plastic,3,4,1|1|2|2,4,-2989585786132.6274,-2989586827278.0156,1041145.3881835938,3.48257283810534e-07,40000.0,2e-05,True
3,plastic,4,4,1|1|2|2,4,0.0,0.0,0.0,0.0,40000.0,2e-05,True
4,plastic,1,2,1|1,2,-18736980.640158147,-18736973.52094561,7.1192125380039215,3.7995516325323125e-07,0.002,2e-05,True
4,plastic,2,2,1|1,2,-9714641.937697176,-9714634.818425275,7.1192719005048275,7.328393517911199e-07,0.002,2e-05,True
4,plastic,3,2,1|1,2,28451622.57785529,28451629.697226837,7.119371548295021,2.502271969675235e-07,0.002,2e-05,True
4,plastic,4,2,1|1,2,0.0,0.0,0.0,0.0,0.002,2e-05,True
4,plastic,1,2,1|2,1,-9714641.937697152,-9714638.118016792,3.8196803592145443,3.9318797169378705e-07,0.002,2e-05,True
4,plastic,2,2,1|2,1,4795513.8980744425,4795517.717584064,3.819509621709585,7.964749265140485e-07,0.002,2e-05,True
4,plastic,3,2,1|2,1,4919128.039622732,4919131.859329879,3.819707146845758,7.765002557516535e-07,0.002,2e-05,True
4,plastic,4,2,1|2,1,0.0,0.0,0.0,0.0,0.002,2e-05,True
4,plastic,1,3,1|1|1,6,29501286326.39906,29501277577.203125,8749.195934295654,2.965699813050689e-07,5.0,2e-05,True
4,plastic,2,3,1|1|1,6,2501433536.6550236,2501424812.5,8724.15502357483,3.4876621328268337e-06,5.0,2e-05,True
4,plastic,3,3,1|1|1,6,-32002719863.05409,-32002727632.375,7769.320911407471,2.427705850781223e-07,5.0,2e-05,True
4,plastic,4,3,1|1|1,6,0.0,0.0,0.0,0.0,5.0,2e-05,True
4,plastic,1,3,1|1|2,2,2501433536.65501,2501434383.721924,847.0669136047363,3.38632473878596e-07,5.0,2e-05,True
4,plastic,2,3,1|1|2,2,-14604670275.193562,-14604669423.943842,851.249719619751,5.8286130640389894e-08,5.0,2e-05,True
4,plastic,3,3,1|1|2,2,12103236738.538492,12103237585.073181,846.534688949585,6.994283000720475e-08,5.0,2e-05,True
4,plastic,4,3,1|1|2,2,0.0,0.0,0.0,0.0,5.0,2e-05,True
4,plastic,1,4,1|1|1|1,24,-53739738545647.81,-53739726457344.0,12088303.8125,2.2494161936109732e-07,40000.0,2e-05,True
4,plastic,2,4,1|1|1|1,24,13897086304921.875,13897097665179.25,11360257.375,8.174553887941948e-07,40000.0,2e-05,True
4,plastic,3,4,1|1|1|1,24,39842652240725.94,39842662389760.0,10149034.0625,2.5472780817750803e-07,40000.0,2e-05,True
4,plastic,4,4,1|1|1|1,24,0.0,0.0,0.0,0.0,40000.0,2e-05,True
4,plastic,1,4,1|1|2|2,4,24113971966274.016,24113962354355.97,9611918.046875,3.986036833881329e-07,40000.0,2e-05,True
4,plastic,2,4,1|1|2|2,4,-9974524879248.408,-9974534502542.553,9623294.14453125,9.64786290736498e-07,40000.0,2e-05,True
4,plastic,3,4,1|1|2|2,4,-14139447087025.578,-14139456737955.86,9650930.28125,6.825531178537511e-07,40000.0,2e-05,True
4,plastic,4,4,1|1|2|2,4,0.0,0.0,0.0,0.0,40000.0,2e-05,True
