model,increment,array,component,parameter,props_index,oti_direction,oti,reference,absolute_error,relative_error,judged_by,agrees,branch
m1_elastic,4,DSIGMA_DP,6,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,4,DSIGMA_DP,6,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,5,DSIGMA_DP,1,E,1,1,0.000673076923076923,0.0006730769230771438,2.207435623180487e-16,3.279618640152791e-13,within_reference_resolution,True,elastic
m1_elastic,5,DSIGMA_DP,1,nu,2,2,396.0798816568047,396.0798914784883,9.821683647714963e-06,2.479722868801178e-08,relative,True,elastic
m1_elastic,5,DSIGMA_DP,2,E,1,1,0.0002884615384615384,0.0002884615384613672,1.7119552303546115e-16,5.934778131899511e-13,within_reference_resolution,True,elastic
m1_elastic,5,DSIGMA_DP,2,nu,2,2,458.2100591715976,458.2100690259475,9.854349912075122e-06,2.150618368780781e-08,relative,True,elastic
m1_elastic,5,DSIGMA_DP,3,E,1,1,0.0002884615384615384,0.0002884615384613672,1.7119552303546115e-16,5.934778131899511e-13,within_reference_resolution,True,elastic
m1_elastic,5,DSIGMA_DP,3,nu,2,2,458.2100591715976,458.2100690259475,9.854349912075122e-06,2.150618368780781e-08,relative,True,elastic
m1_elastic,5,DSIGMA_DP,4,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,5,DSIGMA_DP,4,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,5,DSIGMA_DP,5,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,5,DSIGMA_DP,5,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,5,DSIGMA_DP,6,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,5,DSIGMA_DP,6,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,6,DSIGMA_DP,1,E,1,1,0.0008076923076923077,0.0008076923076925725,2.6487059073820873e-16,3.279350171043414e-13,within_reference_resolution,True,elastic
m1_elastic,6,DSIGMA_DP,1,nu,2,2,475.2958579881657,475.2958697740913,1.1785925551066612e-05,2.47970291782011e-08,relative,True,elastic
m1_elastic,6,DSIGMA_DP,2,E,1,1,0.0003461538461538461,0.00034615384615357297,2.7311052724909857e-16,7.889859676091297e-13,within_reference_resolution,True,elastic
m1_elastic,6,DSIGMA_DP,2,nu,2,2,549.8520710059171,549.8520828311371,1.1825219985439617e-05,2.1506183853214964e-08,relative,True,elastic
m1_elastic,6,DSIGMA_DP,3,E,1,1,0.0003461538461538461,0.00034615384615357297,2.7311052724909857e-16,7.889859676091297e-13,within_reference_resolution,True,elastic
m1_elastic,6,DSIGMA_DP,3,nu,2,2,549.8520710059171,549.8520828311371,1.1825219985439617e-05,2.1506183853214964e-08,relative,True,elastic
m1_elastic,6,DSIGMA_DP,4,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,6,DSIGMA_DP,4,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,6,DSIGMA_DP,5,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,6,DSIGMA_DP,5,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,6,DSIGMA_DP,6,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,6,DSIGMA_DP,6,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,7,DSIGMA_DP,1,E,1,1,0.0009423076923076923,0.0009423076923080013,3.0899761915836876e-16,3.2791584073938584e-13,within_reference_resolution,True,elastic
m1_elastic,7,DSIGMA_DP,1,nu,2,2,554.5118343195267,554.5118480696942,1.3750167568105098e-05,2.479688687621495e-08,relative,True,elastic
m1_elastic,7,DSIGMA_DP,2,E,1,1,0.0004038461538461538,0.00040384615384560956,5.4421528047909895e-16,1.3475806945214897e-12,within_reference_resolution,True,elastic
m1_elastic,7,DSIGMA_DP,2,nu,2,2,641.4940828402366,641.4940966363266,1.3796090001960692e-05,2.1506183882751956e-08,relative,True,elastic
m1_elastic,7,DSIGMA_DP,3,E,1,1,0.0004038461538461538,0.00040384615384560956,5.4421528047909895e-16,1.3475806945214897e-12,within_reference_resolution,True,elastic
m1_elastic,7,DSIGMA_DP,3,nu,2,2,641.4940828402366,641.4940966363266,1.3796090001960692e-05,2.1506183882751956e-08,relative,True,elastic
m1_elastic,7,DSIGMA_DP,4,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,7,DSIGMA_DP,4,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,7,DSIGMA_DP,5,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,7,DSIGMA_DP,5,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,7,DSIGMA_DP,6,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
