increment,row,column,value
3,5,4,  0.0000000000000000E+00
3,5,5,  7.6923076923076922E+04
3,5,6,  0.0000000000000000E+00
3,6,1,  0.0000000000000000E+00
3,6,2,  0.0000000000000000E+00
3,6,3,  0.0000000000000000E+00
3,6,4,  0.0000000000000000E+00
3,6,5,  0.0000000000000000E+00
3,6,6,  7.6923076923076922E+04
4,1,1,  2.6923076923076925E+05
4,1,2,  1.1538461538461538E+05
4,1,3,  1.1538461538461538E+05
4,1,4,  0.0000000000000000E+00
4,1,5,  0.0000000000000000E+00
4,1,6,  0.0000000000000000E+00
4,2,1,  1.1538461538461538E+05
4,2,2,  2.6923076923076925E+05
4,2,3,  1.1538461538461538E+05
4,2,4,  0.0000000000000000E+00
4,2,5,  0.0000000000000000E+00
4,2,6,  0.0000000000000000E+00
4,3,1,  1.1538461538461538E+05
4,3,2,  1.1538461538461538E+05
4,3,3,  2.6923076923076925E+05
4,3,4,  0.0000000000000000E+00
4,3,5,  0.0000000000000000E+00
4,3,6,  0.0000000000000000E+00
4,4,1,  0.0000000000000000E+00
4,4,2,  0.0000000000000000E+00
4,4,3,  0.0000000000000000E+00
4,4,4,  7.6923076923076922E+04
4,4,5,  0.0000000000000000E+00
4,4,6,  0.0000000000000000E+00
4,5,1,  0.0000000000000000E+00
4,5,2,  0.0000000000000000E+00
4,5,3,  0.0000000000000000E+00
4,5,4,  0.0000000000000000E+00
4,5,5,  7.6923076923076922E+04
4,5,6,  0.0000000000000000E+00
4,6,1,  0.0000000000000000E+00
4,6,2,  0.0000000000000000E+00
4,6,3,  0.0000000000000000E+00
4,6,4,  0.0000000000000000E+00
4,6,5,  0.0000000000000000E+00
4,6,6,  7.6923076923076922E+04
5,1,1,  2.6923076923076925E+05
5,1,2,  1.1538461538461538E+05
5,1,3,  1.1538461538461538E+05
5,1,4,  0.0000000000000000E+00
5,1,5,  0.0000000000000000E+00
5,1,6,  0.0000000000000000E+00
5,2,1,  1.1538461538461538E+05
5,2,2,  2.6923076923076925E+05
5,2,3,  1.1538461538461538E+05
5,2,4,  0.0000000000000000E+00
5,2,5,  0.0000000000000000E+00
5,2,6,  0.0000000000000000E+00
5,3,1,  1.1538461538461538E+05
5,3,2,  1.1538461538461538E+05
5,3,3,  2.6923076923076925E+05
5,3,4,  0.0000000000000000E+00
5,3,5,  0.0000000000000000E+00
5,3,6,  0.0000000000000000E+00
5,4,1,  0.0000000000000000E+00
5,4,2,  0.0000000000000000E+00
5,4,3,  0.0000000000000000E+00
5,4,4,  7.6923076923076922E+04
5,4,5,  0.0000000000000000E+00
5,4,6,  0.0000000000000000E+00
5,5,1,  0.0000000000000000E+00
5,5,2,  0.0000000000000000E+00
5,5,3,  0.0000000000000000E+00
5,5,4,  0.0000000000000000E+00
5,5,5,  7.6923076923076922E+04
5,5,6,  0.0000000000000000E+00
5,6,1,  0.0000000000000000E+00
5,6,2,  0.0000000000000000E+00
5,6,3,  0.0000000000000000E+00
5,6,4,  0.0000000000000000E+00
5,6,5,  0.0000000000000000E+00
5,6,6,  7.6923076923076922E+04
6,1,1,  2.6923076923076925E+05
6,1,2,  1.1538461538461538E+05
6,1,3,  1.1538461538461538E+05
6,1,4,  0.0000000000000000E+00
6,1,5,  0.0000000000000000E+00
6,1,6,  0.0000000000000000E+00
6,2,1,  1.1538461538461538E+05
6,2,2,  2.6923076923076925E+05
6,2,3,  1.1538461538461538E+05
6,2,4,  0.0000000000000000E+00
6,2,5,  0.0000000000000000E+00
6,2,6,  0.0000000000000000E+00
6,3,1,  1.1538461538461538E+05
6,3,2,  1.1538461538461538E+05
6,3,3,  2.6923076923076925E+05
6,3,4,  0.0000000000000000E+00
6,3,5,  0.0000000000000000E+00
6,3,6,  0.0000000000000000E+00
6,4,1,  0.0000000000000000E+00
6,4,2,  0.0000000000000000E+00
6,4,3,  0.0000000000000000E+00
6,4,4,  7.6923076923076922E+04
6,4,5,  0.0000000000000000E+00
6,4,6,  0.0000000000000000E+00
6,5,1,  0.0000000000000000E+00
6,5,2,  0.0000000000000000E+00
6,5,3,  0.0000000000000000E+00
6,5,4,  0.0000000000000000E+00
6,5,5,  7.6923076923076922E+04
6,5,6,  0.0000000000000000E+00
6,6,1,  0.0000000000000000E+00
6,6,2,  0.0000000000000000E+00
6,6,3,  0.0000000000000000E+00
6,6,4,  0.0000000000000000E+00
6,6,5,  0.0000000000000000E+00
6,6,6,  7.6923076923076922E+04
7,1,1,  1.6754791804362193E+05
7,1,2,  1.6622604097818903E+05
7,1,3,  1.6622604097818903E+05
7,1,4,  0.0000000000000000E+00
7,1,5,  0.0000000000000000E+00
7,1,6,  0.0000000000000000E+00
7,2,1,  1.6622604097818900E+05
7,2,2,  2.3836276083467097E+05
7,2,3,  9.5411198187140035E+04
7,2,4,  0.0000000000000000E+00
7,2,5,  0.0000000000000000E+00
7,2,6,  0.0000000000000000E+00
7,3,1,  1.6622604097818900E+05
7,3,2,  9.5411198187140049E+04
7,3,3,  2.3836276083467097E+05
7,3,4,  0.0000000000000000E+00
7,3,5,  0.0000000000000000E+00
7,3,6,  0.0000000000000000E+00
7,4,1,  0.0000000000000000E+00
7,4,2,  0.0000000000000000E+00
7,4,3,  0.0000000000000000E+00
7,4,4,  7.1475781323765448E+04
7,4,5,  0.0000000000000000E+00
7,4,6,  0.0000000000000000E+00
7,5,1,  0.0000000000000000E+00
7,5,2,  0.0000000000000000E+00
7,5,3,  0.0000000000000000E+00
7,5,4,  0.0000000000000000E+00
7,5,5,  7.1475781323765448E+04
7,5,6,  0.0000000000000000E+00
7,6,1,  0.0000000000000000E+00
7,6,2,  0.0000000000000000E+00
7,6,3,  0.0000000000000000E+00
7,6,4,  0.0000000000000000E+00
7,6,5,  0.0000000000000000E+00
7,6,6,  7.1475781323765448E+04
8,1,1,  1.6754791804362193E+05
8,1,2,  1.6622604097818903E+05
8,1,3,  1.6622604097818903E+05
8,1,4,  0.0000000000000000E+00
8,1,5,  0.0000000000000000E+00
8,1,6,  0.0000000000000000E+00
8,2,1,  1.6622604097818903E+05
8,2,2,  2.3364759251072936E+05
8,2,3,  1.0012636651108162E+05
8,2,4,  0.0000000000000000E+00
8,2,5,  0.0000000000000000E+00
8,2,6,  0.0000000000000000E+00
8,3,1,  1.6622604097818903E+05
8,3,2,  1.0012636651108162E+05
8,3,3,  2.3364759251072936E+05
8,3,4,  0.0000000000000000E+00
8,3,5,  0.0000000000000000E+00
8,3,6,  0.0000000000000000E+00
8,4,1,  0.0000000000000000E+00
8,4,2,  0.0000000000000000E+00
8,4,3,  0.0000000000000000E+00
8,4,4,  6.6760612999823847E+04
8,4,5,  0.0000000000000000E+00
8,4,6,  0.0000000000000000E+00
8,5,1,  0.0000000000000000E+00
8,5,2,  0.0000000000000000E+00
8,5,3,  0.0000000000000000E+00
8,5,4,  0.0000000000000000E+00
8,5,5,  6.6760612999823847E+04
8,5,6,  0.0000000000000000E+00
8,6,1,  0.0000000000000000E+00
8,6,2,  0.0000000000000000E+00
8,6,3,  0.0000000000000000E+00
8,6,4,  0.0000000000000000E+00
8,6,5,  0.0000000000000000E+00
8,6,6,  6.6760612999823847E+04
9,1,1,  1.6754791804362193E+05
9,1,2,  1.6622604097818903E+05
9,1,3,  1.6622604097818903E+05
9,1,4,  0.0000000000000000E+00
9,1,5,  0.0000000000000000E+00
9,1,6,  0.0000000000000000E+00
9,2,1,  1.6622604097818903E+05
9,2,2,  2.3365921492922166E+05
9,2,3,  1.0011474409258929E+05
9,2,4,  0.0000000000000000E+00
9,2,5,  0.0000000000000000E+00
9,2,6,  0.0000000000000000E+00
9,3,1,  1.6622604097818903E+05
9,3,2,  1.0011474409258929E+05
9,3,3,  2.3365921492922166E+05
9,3,4,  0.0000000000000000E+00
9,3,5,  0.0000000000000000E+00
9,3,6,  0.0000000000000000E+00
9,4,1,  0.0000000000000000E+00
9,4,2,  0.0000000000000000E+00
9,4,3,  0.0000000000000000E+00
9,4,4,  6.6772235418316181E+04
9,4,5,  0.0000000000000000E+00
9,4,6,  0.0000000000000000E+00
9,5,1,  0.0000000000000000E+00
9,5,2,  0.0000000000000000E+00
9,5,3,  0.0000000000000000E+00
9,5,4,  0.0000000000000000E+00
9,5,5,  6.6772235418316181E+04
9,5,6,  0.0000000000000000E+00
9,6,1,  0.0000000000000000E+00
9,6,2,  0.0000000000000000E+00
9,6,3,  0.0000000000000000E+00
9,6,4,  0.0000000000000000E+00
9,6,5,  0.0000000000000000E+00
9,6,6,  6.6772235418316181E+04
10,1,1,  1.6754791804362193E+05
10,1,2,  1.6622604097818903E+05
10,1,3,  1.6622604097818903E+05
10,1,4,  0.0000000000000000E+00
10,1,5,  0.0000000000000000E+00
10,1,6,  0.0000000000000000E+00
10,2,1,  1.6622604097818900E+05
10,2,2,  2.3367081079385808E+05
10,2,3,  1.0010314822795292E+05
10,2,4,  0.0000000000000000E+00
10,2,5,  0.0000000000000000E+00
10,2,6,  0.0000000000000000E+00
10,3,1,  1.6622604097818900E+05
10,3,2,  1.0010314822795292E+05
10,3,3,  2.3367081079385808E+05
10,3,4,  0.0000000000000000E+00
10,3,5,  0.0000000000000000E+00
10,3,6,  0.0000000000000000E+00
10,4,1,  0.0000000000000000E+00
10,4,2,  0.0000000000000000E+00
10,4,3,  0.0000000000000000E+00
10,4,4,  6.6783831282952568E+04
10,4,5,  0.0000000000000000E+00
10,4,6,  0.0000000000000000E+00
10,5,1,  0.0000000000000000E+00
10,5,2,  0.0000000000000000E+00
10,5,3,  0.0000000000000000E+00
10,5,4,  0.0000000000000000E+00
10,5,5,  6.6783831282952568E+04
10,5,6,  0.0000000000000000E+00
10,6,1,  0.0000000000000000E+00
10,6,2,  0.0000000000000000E+00
10,6,3,  0.0000000000000000E+00
10,6,4,  0.0000000000000000E+00
10,6,5,  0.0000000000000000E+00
10,6,6,  6.6783831282952568E+04
11,1,1,  1.6754791804362193E+05
11,1,2,  1.6622604097818903E+05
11,1,3,  1.6622604097818903E+05
11,1,4,  0.0000000000000000E+00
11,1,5,  0.0000000000000000E+00
11,1,6,  0.0000000000000000E+00
11,2,1,  1.6622604097818903E+05
11,2,2,  2.3368238019553642E+05
11,2,3,  1.0009157882627455E+05
11,2,4,  0.0000000000000000E+00
11,2,5,  0.0000000000000000E+00
11,2,6,  0.0000000000000000E+00
11,3,1,  1.6622604097818903E+05
11,3,2,  1.0009157882627455E+05
11,3,3,  2.3368238019553642E+05
11,3,4,  0.0000000000000000E+00
11,3,5,  0.0000000000000000E+00
11,3,6,  0.0000000000000000E+00
11,4,1,  0.0000000000000000E+00
11,4,2,  0.0000000000000000E+00
11,4,3,  0.0000000000000000E+00
11,4,4,  6.6795400684630935E+04
11,4,5,  0.0000000000000000E+00
11,4,6,  0.0000000000000000E+00
11,5,1,  0.0000000000000000E+00
11,5,2,  0.0000000000000000E+00
11,5,3,  0.0000000000000000E+00
11,5,4,  0.0000000000000000E+00
11,5,5,  6.6795400684630935E+04
11,5,6,  0.0000000000000000E+00
11,6,1,  0.0000000000000000E+00
11,6,2,  0.0000000000000000E+00
11,6,3,  0.0000000000000000E+00
11,6,4,  0.0000000000000000E+00
11,6,5,  0.0000000000000000E+00
11,6,6,  6.6795400684630935E+04
12,1,1,  1.6754791804362193E+05
12,1,2,  1.6622604097818903E+05
12,1,3,  1.6622604097818903E+05
12,1,4,  0.0000000000000000E+00
12,1,5,  0.0000000000000000E+00
12,1,6,  0.0000000000000000E+00
12,2,1,  1.6622604097818898E+05
12,2,2,  2.3369392322474037E+05
12,2,3,  1.0008003579707065E+05
12,2,4,  0.0000000000000000E+00
12,2,5,  0.0000000000000000E+00
12,2,6,  0.0000000000000000E+00
12,3,1,  1.6622604097818898E+05
12,3,2,  1.0008003579707065E+05
12,3,3,  2.3369392322474037E+05
12,3,4,  0.0000000000000000E+00
12,3,5,  0.0000000000000000E+00
12,3,6,  0.0000000000000000E+00
12,4,1,  0.0000000000000000E+00
12,4,2,  0.0000000000000000E+00
12,4,3,  0.0000000000000000E+00
12,4,4,  6.6806943713834844E+04
12,4,5,  0.0000000000000000E+00
12,4,6,  0.0000000000000000E+00
12,5,1,  0.0000000000000000E+00
12,5,2,  0.0000000000000000E+00
12,5,3,  0.0000000000000000E+00
12,5,4,  0.0000000000000000E+00
12,5,5,  6.6806943713834844E+04
12,5,6,  0.0000000000000000E+00
12,6,1,  0.0000000000000000E+00
12,6,2,  0.0000000000000000E+00
12,6,3,  0.0000000000000000E+00
12,6,4,  0.0000000000000000E+00
12,6,5,  0.0000000000000000E+00
12,6,6,  6.6806943713834844E+04
13,1,1,  1.6833251602003776E+05
13,1,2,  1.6895144291133591E+05
13,1,3,  1.6271604106862636E+05
13,1,4, -6.2354018427095416E+03
13,1,5,  0.0000000000000000E+00
13,1,6,  0.0000000000000000E+00
13,2,1,  1.6895144291133582E+05
13,2,2,  2.2704005239917047E+05
13,2,3,  1.0400850468949373E+05
13,2,4,  3.3530803142795216E+03
13,2,5,  0.0000000000000000E+00
13,2,6,  0.0000000000000000E+00
13,3,1,  1.6271604106862631E+05
13,3,2,  1.0400850468949373E+05
13,3,3,  2.3327545424187998E+05
13,3,4,  2.8823215284300090E+03
13,3,5,  0.0000000000000000E+00
13,3,6,  0.0000000000000000E+00
13,4,1, -6.2354018427095398E+03
13,4,2,  3.3530803142795257E+03
13,4,3,  2.8823215284300131E+03
13,4,4,  6.2721555226128592E+04
13,4,5,  0.0000000000000000E+00
13,4,6,  0.0000000000000000E+00
13,5,1,  0.0000000000000000E+00
13,5,2,  0.0000000000000000E+00
13,5,3,  0.0000000000000000E+00
13,5,4,  0.0000000000000000E+00
13,5,5,  6.3192314011978109E+04
13,5,6,  0.0000000000000000E+00
13,6,1,  0.0000000000000000E+00
13,6,2,  0.0000000000000000E+00
13,6,3,  0.0000000000000000E+00
13,6,4,  0.0000000000000000E+00
13,6,5,  0.0000000000000000E+00
13,6,6,  6.3192314011978109E+04
14,1,1,  2.6923076923076925E+05
14,1,2,  1.1538461538461538E+05
14,1,3,  1.1538461538461538E+05
14,1,4,  0.0000000000000000E+00
14,1,5,  0.0000000000000000E+00
14,1,6,  0.0000000000000000E+00
14,2,1,  1.1538461538461538E+05
14,2,2,  2.6923076923076925E+05
14,2,3,  1.1538461538461538E+05
14,2,4,  0.0000000000000000E+00
14,2,5,  0.0000000000000000E+00
14,2,6,  0.0000000000000000E+00
14,3,1,  1.1538461538461538E+05
14,3,2,  1.1538461538461538E+05
14,3,3,  2.6923076923076925E+05
14,3,4,  0.0000000000000000E+00
14,3,5,  0.0000000000000000E+00
14,3,6,  0.0000000000000000E+00
14,4,1,  0.0000000000000000E+00
14,4,2,  0.0000000000000000E+00
14,4,3,  0.0000000000000000E+00
14,4,4,  7.6923076923076922E+04
14,4,5,  0.0000000000000000E+00
14,4,6,  0.0000000000000000E+00
14,5,1,  0.0000000000000000E+00
14,5,2,  0.0000000000000000E+00
14,5,3,  0.0000000000000000E+00
14,5,4,  0.0000000000000000E+00
14,5,5,  7.6923076923076922E+04
14,5,6,  0.0000000000000000E+00
14,6,1,  0.0000000000000000E+00
14,6,2,  0.0000000000000000E+00
14,6,3,  0.0000000000000000E+00
14,6,4,  0.0000000000000000E+00
14,6,5,  0.0000000000000000E+00
14,6,6,  7.6923076923076922E+04
15,1,1,  2.6923076923076925E+05
15,1,2,  1.1538461538461538E+05
15,1,3,  1.1538461538461538E+05
15,1,4,  0.0000000000000000E+00
15,1,5,  0.0000000000000000E+00
15,1,6,  0.0000000000000000E+00
15,2,1,  1.1538461538461538E+05
15,2,2,  2.6923076923076925E+05
15,2,3,  1.1538461538461538E+05
15,2,4,  0.0000000000000000E+00
15,2,5,  0.0000000000000000E+00
15,2,6,  0.0000000000000000E+00
15,3,1,  1.1538461538461538E+05
15,3,2,  1.1538461538461538E+05
15,3,3,  2.6923076923076925E+05
15,3,4,  0.0000000000000000E+00
15,3,5,  0.0000000000000000E+00
15,3,6,  0.0000000000000000E+00
15,4,1,  0.0000000000000000E+00
15,4,2,  0.0000000000000000E+00
15,4,3,  0.0000000000000000E+00
15,4,4,  7.6923076923076922E+04
15,4,5,  0.0000000000000000E+00
15,4,6,  0.0000000000000000E+00
15,5,1,  0.0000000000000000E+00
15,5,2,  0.0000000000000000E+00
15,5,3,  0.0000000000000000E+00
15,5,4,  0.0000000000000000E+00
15,5,5,  7.6923076923076922E+04
15,5,6,  0.0000000000000000E+00
15,6,1,  0.0000000000000000E+00
15,6,2,  0.0000000000000000E+00
15,6,3,  0.0000000000000000E+00
15,6,4,  0.0000000000000000E+00
15,6,5,  0.0000000000000000E+00
15,6,6,  7.6923076923076922E+04
