order,member_name,flat_getim_index,bases_multiindex,recovery_factor
4,E3446,194,3|4|4|6,2
4,E3456,195,3|4|5|6,1
4,E3466,196,3|4|6|6,2
4,E3556,197,3|5|5|6,2
4,E3566,198,3|5|6|6,2
4,E3666,199,3|6|6|6,6
4,E4446,200,4|4|4|6,6
4,E4456,201,4|4|5|6,2
4,E4466,202,4|4|6|6,4
4,E4556,203,4|5|5|6,2
4,E4566,204,4|5|6|6,2
4,E4666,205,4|6|6|6,6
4,E5556,206,5|5|5|6,6
4,E5566,207,5|5|6|6,4
4,E5666,208,5|6|6|6,6
4,E6666,209,6|6|6|6,24
