model,increment,array,component,parameter,props_index,oti_direction,oti,reference,absolute_error,relative_error,judged_by,agrees,branch,branch_crossing
m3_j2,3,DSIGMA_DP,1,nu,2,2,237.6479289940828,237.6479348868088,5.892725994272041e-06,2.4796032825106324e-08,relative,True,elastic,False
m3_j2,3,DSIGMA_DP,1,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,3,DSIGMA_DP,1,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,3,DSIGMA_DP,2,E,1,1,0.0001730769230769231,0.00017307692307712484,2.0174291924524024e-16,1.1656257556378071e-12,within_reference_resolution,True,elastic,False
m3_j2,3,DSIGMA_DP,2,nu,2,2,274.9260355029585,274.92604141545013,5.91249164472174e-06,2.1505753381096307e-08,relative,True,elastic,False
m3_j2,3,DSIGMA_DP,2,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,3,DSIGMA_DP,2,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,3,DSIGMA_DP,3,E,1,1,0.0001730769230769231,0.00017307692307712484,2.0174291924524024e-16,1.1656257556378071e-12,within_reference_resolution,True,elastic,False
m3_j2,3,DSIGMA_DP,3,nu,2,2,274.9260355029585,274.92604141545013,5.91249164472174e-06,2.1505753381096307e-08,relative,True,elastic,False
m3_j2,3,DSIGMA_DP,3,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,3,DSIGMA_DP,3,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,3,DSIGMA_DP,4,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,3,DSIGMA_DP,4,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,3,DSIGMA_DP,4,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,3,DSIGMA_DP,4,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,3,DSIGMA_DP,5,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,3,DSIGMA_DP,5,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,3,DSIGMA_DP,5,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,3,DSIGMA_DP,5,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,3,DSIGMA_DP,6,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,3,DSIGMA_DP,6,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,3,DSIGMA_DP,6,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,3,DSIGMA_DP,6,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,4,DSIGMA_DP,1,E,1,1,0.0005384615384615384,0.0005384615384617151,1.7661653389788867e-16,3.280021343816857e-13,within_reference_resolution,True,elastic,False
m3_j2,4,DSIGMA_DP,1,nu,2,2,316.8639053254437,316.8639131821749,7.856731201627554e-06,2.4795285530386276e-08,relative,True,elastic,False
m3_j2,4,DSIGMA_DP,1,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,4,DSIGMA_DP,1,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,4,DSIGMA_DP,2,E,1,1,0.0002307692307692308,0.00023076923076933062,9.982791503160282e-17,4.3258763180342505e-13,within_reference_resolution,True,elastic,False
m3_j2,4,DSIGMA_DP,2,nu,2,2,366.568047337278,366.5680552205212,7.88324319955791e-06,2.1505537886588296e-08,relative,True,elastic,False
m3_j2,4,DSIGMA_DP,2,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,4,DSIGMA_DP,2,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,4,DSIGMA_DP,3,E,1,1,0.0002307692307692308,0.00023076923076933062,9.982791503160282e-17,4.3258763180342505e-13,within_reference_resolution,True,elastic,False
m3_j2,4,DSIGMA_DP,3,nu,2,2,366.568047337278,366.5680552205212,7.88324319955791e-06,2.1505537886588296e-08,relative,True,elastic,False
m3_j2,4,DSIGMA_DP,3,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,4,DSIGMA_DP,3,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,4,DSIGMA_DP,4,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,4,DSIGMA_DP,4,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,4,DSIGMA_DP,4,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,4,DSIGMA_DP,4,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,4,DSIGMA_DP,5,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,4,DSIGMA_DP,5,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,4,DSIGMA_DP,5,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,4,DSIGMA_DP,5,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,4,DSIGMA_DP,6,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,4,DSIGMA_DP,6,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,4,DSIGMA_DP,6,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,4,DSIGMA_DP,6,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,5,DSIGMA_DP,1,E,1,1,0.000673076923076923,0.0006730769230771438,2.207435623180487e-16,3.279618640152791e-13,within_reference_resolution,True,elastic,False
m3_j2,5,DSIGMA_DP,1,nu,2,2,396.0798816568047,396.07989147754097,9.820736295296228e-06,2.479483686652418e-08,relative,True,elastic,False
m3_j2,5,DSIGMA_DP,1,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,5,DSIGMA_DP,1,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
