increment,branch,stress_component,order,directions,recovery_factor,oti_derivative,fd_reference,absolute_error,relative_error,absolute_tolerance,relative_tolerance,passed
2,plastic,3,3,1|1|1,6,2.288818359375e-05,1.0801208310801771e-64,2.288818359375e-05,1.0,0.02,1e-07,True
2,plastic,4,3,1|1|1,6,0.0,0.0,0.0,0.0,0.02,1e-07,True
2,plastic,5,3,1|1|1,6,0.0,0.0,0.0,0.0,0.02,1e-07,True
2,plastic,6,3,1|1|1,6,0.0,0.0,0.0,0.0,0.02,1e-07,True
2,plastic,1,3,1|1|2,2,-1.9073486328125e-05,0.014426696692776297,0.014445770179104422,1.0013220965779142,0.02,1e-07,True
2,plastic,2,3,1|1|2,2,26762979134.93917,26762979134.934387,0.00478363037109375,1.7874057843017568e-13,0.02,1e-07,True
2,plastic,3,3,1|1|2,2,-26762979134.939175,-26762979134.948814,0.009639739990234375,3.6018934744249697e-13,0.02,1e-07,True
2,plastic,4,3,1|1|2,2,0.0,0.0,0.0,0.0,0.02,1e-07,True
2,plastic,5,3,1|1|2,2,0.0,0.0,0.0,0.0,0.02,1e-07,True
2,plastic,6,3,1|1|2,2,0.0,0.0,0.0,0.0,0.02,1e-07,True
2,plastic,1,4,1|1|1|1,24,0.0,1.395511176060361e-58,1.395511176060361e-58,1.0,0.1,1e-07,True
2,plastic,2,4,1|1|1|1,24,-0.05859375,1.929134736136954e-59,0.05859375,1.0,0.1,1e-07,True
2,plastic,3,4,1|1|1|1,24,-0.05859375,1.929134736136954e-59,0.05859375,1.0,0.1,1e-07,True
2,plastic,4,4,1|1|1|1,24,0.0,0.0,0.0,0.0,0.1,1e-07,True
2,plastic,5,4,1|1|1|1,24,0.0,0.0,0.0,0.0,0.1,1e-07,True
2,plastic,6,4,1|1|1|1,24,0.0,0.0,0.0,0.0,0.1,1e-07,True
2,plastic,1,4,1|1|2|2,4,-38232827335627.38,-38232827335617.984,9.3984375,2.458211478187499e-13,0.1,1e-07,True
2,plastic,2,4,1|1|2|2,4,57349241003441.08,57349241003445.5,4.421875,7.710433342499401e-14,0.1,1e-07,True
2,plastic,3,4,1|1|2|2,4,-19116413667813.67,-19116413667827.52,13.84765625,7.243856766557256e-13,0.1,1e-07,True
2,plastic,4,4,1|1|2|2,4,0.0,0.0,0.0,0.0,0.1,1e-07,True
2,plastic,5,4,1|1|2|2,4,0.0,0.0,0.0,0.0,0.1,1e-07,True
2,plastic,6,4,1|1|2|2,4,0.0,0.0,0.0,0.0,0.1,1e-07,True
3,plastic,1,2,1|1,2,-1186158.7412411869,-1186158.741241005,1.8184073269367218e-07,1.533021899778739e-13,1e-05,1e-07,True
3,plastic,2,2,1|1,2,-2521943.0295576826,-2521943.029557635,4.7497451305389404e-08,1.883367338147994e-14,1e-05,1e-07,True
3,plastic,3,2,1|1,2,3708101.770798877,3708101.7707986403,2.3655593395233154e-07,6.379434777524127e-14,1e-05,1e-07,True
3,plastic,4,2,1|1,2,6230044.800356574,6230044.800356275,2.989545464515686e-07,4.798593846940845e-14,1e-05,1e-07,True
3,plastic,5,2,1|1,2,0.0,0.0,0.0,0.0,1e-05,1e-07,True
3,plastic,6,2,1|1,2,0.0,0.0,0.0,0.0,1e-05,1e-07,True
3,plastic,1,2,1|2,1,-2521943.029557679,-2521943.02956281,5.131121724843979e-06,2.0345906567657405e-12,1e-05,1e-07,True
3,plastic,2,2,1|2,1,-28272815.837251183,-28272815.83724673,4.451721906661987e-06,1.5745590861157056e-13,1e-05,1e-07,True
3,plastic,3,2,1|2,1,30794758.866808843,30794758.86680954,6.966292858123779e-07,2.262168341130289e-14,1e-05,1e-07,True
3,plastic,4,2,1|2,1,-3470870.022550657,-3470870.022549993,6.640329957008362e-07,1.9131600762533156e-13,1e-05,1e-07,True
3,plastic,5,2,1|2,1,0.0,0.0,0.0,0.0,1e-05,1e-07,True
3,plastic,6,2,1|2,1,0.0,0.0,0.0,0.0,1e-05,1e-07,True
3,plastic,1,3,1|1|1,6,2368973255.491287,2368973260.0794063,4.588119029998779,1.9367542501703836e-09,0.02,1e-07,True
3,plastic,2,3,1|1|1,6,3447659725.967972,3447659726.9076266,0.9396548271179199,2.7254859862888555e-10,0.02,1e-07,True
3,plastic,3,3,1|1|1,6,-5816632981.459248,-5816632986.987033,5.527785301208496,9.503410845372663e-10,0.02,1e-07,True
3,plastic,4,3,1|1|1,6,-9264292707.427238,-9264292713.894659,6.46742057800293,6.981019250722769e-10,0.02,1e-07,True
3,plastic,5,3,1|1|1,6,0.0,0.0,0.0,0.0,0.02,1e-07,True
3,plastic,6,3,1|1|1,6,0.0,0.0,0.0,0.0,0.02,1e-07,True
3,plastic,1,3,1|1|2,2,3447659725.9679756,3447659725.9941216,0.02614593505859375,7.58367621417588e-12,0.02,1e-07,True
3,plastic,2,3,1|1|2,2,26754974973.618404,26754974973.599068,0.019336700439453125,7.227328920516642e-13,0.02,1e-07,True
3,plastic,3,3,1|1|2,2,-30202634699.586353,-30202634699.59319,0.0068359375,2.2633580043571749e-13,0.02,1e-07,True
3,plastic,4,3,1|1|2,2,5342838330.361004,5342838330.362023,0.0010194778442382812,1.908120330807769e-13,0.02,1e-07,True
3,plastic,5,3,1|1|2,2,0.0,0.0,0.0,0.0,0.02,1e-07,True
3,plastic,6,3,1|1|2,2,0.0,0.0,0.0,0.0,0.02,1e-07,True
3,plastic,1,4,1|1|1|1,24,-5899826597029.5,-5899826606932.48,9902.98046875,1.6785205953533767e-09,0.1,1e-07,True
3,plastic,2,4,1|1|1|1,24,-6188720097573.516,-6188720098782.5205,1209.0048828125,1.953562066977859e-10,0.1,1e-07,True
3,plastic,3,4,1|1|1|1,24,12088546694602.992,12088546705715.0,11112.0078125,9.19217841731684e-10,0.1,1e-07,True
3,plastic,4,4,1|1|1|1,24,18277266792176.543,18277266804497.523,12320.98046875,6.741150414086067e-10,0.1,1e-07,True
3,plastic,5,4,1|1|1|1,24,0.0,0.0,0.0,0.0,0.1,1e-07,True
3,plastic,6,4,1|1|1|1,24,0.0,0.0,0.0,0.0,0.1,1e-07,True
3,plastic,1,4,1|1|2|2,4,-37772812800750.91,-37772812800725.48,25.4296875,6.732272662388136e-13,0.1,1e-07,True
3,plastic,2,4,1|1|2|2,4,72648028304764.4,72648028304760.73,3.671875,5.054335383468612e-14,0.1,1e-07,True
3,plastic,3,4,1|1|2|2,4,-34875215504013.48,-34875215504035.25,21.76953125,6.242120926100413e-13,0.1,1e-07,True
3,plastic,4,4,1|1|2|2,4,-666477201557.7773,-666477201555.5065,2.2708740234375,3.4072793759932335e-12,0.1,1e-07,True
3,plastic,5,4,1|1|2|2,4,0.0,0.0,0.0,0.0,0.1,1e-07,True
3,plastic,6,4,1|1|2|2,4,0.0,0.0,0.0,0.0,0.1,1e-07,True
