order,member_name,flat_getim_index,bases_multiindex,recovery_factor
1,E1,1,1,1
1,E2,2,2,1
2,E11,3,1|1,2
2,E12,4,1|2,1
2,E22,5,2|2,2
3,E111,6,1|1|1,6
3,E112,7,1|1|2,2
3,E122,8,1|2|2,2
3,E222,9,2|2|2,6
4,E1111,10,1|1|1|1,24
4,E1112,11,1|1|1|2,6
4,E1122,12,1|1|2|2,4
4,E1222,13,1|2|2|2,6
4,E2222,14,2|2|2|2,24
