increment,stress_component,method,E,NU,SIGY0,H
10,2,centered_fd,8.6538461559e-04,1.3091715976e+03,0.0000000000e+00,0.0000000000e+00
10,3,centered_fd,8.6538461559e-04,1.3091715976e+03,0.0000000000e+00,0.0000000000e+00
10,4,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
10,5,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
10,6,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
11,1,centered_fd,1.3821611142e-03,1.3738982901e+03,6.6093853263e-01,1.0920999216e-05
11,2,centered_fd,1.3714194433e-03,1.3755508549e+03,-3.3046926632e-01,-5.4604996080e-06
11,3,centered_fd,1.3714194433e-03,1.3755508549e+03,-3.3046926632e-01,-5.4604996080e-06
11,4,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
11,5,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
11,6,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
12,1,centered_fd,1.5071667931e-03,1.4988974164e+03,6.6093853275e-01,7.6446966091e-05
12,2,centered_fd,1.4964166039e-03,1.5005512917e+03,-3.3046926637e-01,-3.8223483045e-05
12,3,centered_fd,1.4964166039e-03,1.5005512917e+03,-3.3046926637e-01,-3.8223483045e-05
12,4,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
12,5,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
12,6,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
13,1,centered_fd,1.6321724722e-03,1.6238965428e+03,6.6093853275e-01,1.4197291875e-04
13,2,centered_fd,1.6214137645e-03,1.6255517285e+03,-3.3046926637e-01,-7.0986459377e-05
13,3,centered_fd,1.6214137645e-03,1.6255517285e+03,-3.3046926637e-01,-7.0986459377e-05
13,4,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
13,5,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
